MAME Name,EN Name,CN Name
1941,1941: Counter Attack (World 900227),1941 - 反击战（900227 世界版）
1941j,1941: Counter Attack (Japan),1941 - 反击战（日版）
1941r1,1941: Counter Attack (World),1941 - 反击战（世界版）
1941u,1941: Counter Attack (USA 900227),1941 - 反击战（900227 美版）
3wonders,Three Wonders (World 910520),三个奇迹（奇迹3 910520 世界版）
3wondersb,Three Wonders (bootleg),"三个奇迹（盗版 第2套, 奇迹3 910520 世界版）"
3wondersh,Three Wonders (hack),"三个奇迹（盗版 第1套, 奇迹3 910520 世界版）"
3wondersr1,Three Wonders (World 910513),三个奇迹（奇迹3 910513 世界版）
3wondersu,Three Wonders (USA 910520),三个奇迹（奇迹3 910520 美版）
area88,Area 88 (Japan),战区 88（日版）
area88r,Area 88 (Japan Resale Ver.),战区 88（日版 重发售版）
captcomm,Captain Commando (World 911202),名将（911202 世界版）
captcommb,Captain Commando (bootleg),"名将（盗版 第1套, 911014 世界版）"
captcommj,Captain Commando (Japan 911202),名将（911202 日版）
captcommjr1,Captain Commando (Japan 910928),名将（910928 日版）
captcommr1,Captain Commando (World 911014),名将（911014 世界版）
captcommu,Captain Commando (USA 910928),名将（910928 美版）
cawing,Carrier Air Wing (World 901012),雌虎战机（美国海军 901012 世界版）
cawingj,U.S. Navy (Japan 901012),雌虎战机（901012 日版）
cawingr1,Carrier Air Wing (World 901009),雌虎战机（美国海军 901009 世界版）
cawingu,Carrier Air Wing (USA 901012),雌虎战机（美国海军 901130 美版）
chikij,Chiki Chiki Boys (Japan 900619),双麒儿（900619 日版）
cworld2j,Adventure Quiz Capcom World 2 (Japan 920611),冒险问答 卡普空世界 2（920611 日版）
cworld2ja,"Adventure Quiz Capcom World 2 (Japan 920611, B-Board 90629B-3, no battery)","冒险问答 卡普空世界 2（日版 920611, B-Board 90629B-3, 无电池）"
cworld2jb,"Adventure Quiz Capcom World 2 (Japan 920611, B-Board 91634B-2)","冒险问答 卡普空世界 2（日版 920611, B-Board 91634B-2）"
daimakai,Daimakaimura (Japan),大魔界村（日版）
daimakair,Daimakaimura (Japan Resale Ver.),大魔界村（日版 重发售版）
dino,Cadillacs and Dinosaurs (World 930201),恐龙新世纪（930201 世界版）
dinohunt,Dinosaur Hunter (Chinese bootleg of Cadillacs and Dinosaurs),"恐龙猎人（中国盗版, 930223 台湾版）"
dinoj,Cadillacs: Kyouryuu Shin Seiki (Japan 930201),恐龙新世纪（凯迪拉克 930201 日版）
dinou,Cadillacs and Dinosaurs (USA 930201),恐龙新世纪（930201 美版）
dynwar,"Dynasty Wars (USA, B-Board 89624B-?)",王朝战争（美版 第1套）
dynwara,"Dynasty Wars (USA, B-Board 88622B-3)",王朝战争（美版 第2套）
dynwarj,Tenchi wo Kurau (Japan),吞食天地（日版）
dynwarjr,Tenchi wo Kurau (Japan Resale Ver.),吞食天地（日版 重发售版）
ffight,"Final Fight (World, set 1)","快打旋风（世界版, 第1套）"
ffighta,"Final Fight (World, set 2)","快打旋风（世界版, 第2套）"
ffightj,Final Fight (Japan),快打旋风（日版）
ffightj1,Final Fight (Japan 900112),快打旋风（900112 日版）
ffightj2,Final Fight (Japan 900305),快打旋风（900305 日版）
ffightj3,Final Fight (Japan 900613),快打旋风（900613 日版）
ffightjh,"Street Smart / Final Fight (Japan, hack)","快打旋风（日版, 修改版）"
ffightu,"Final Fight (USA, set 1)","快打旋风（美版, 第1套）"
ffightu1,"Final Fight (USA, set 2)","快打旋风（美版, 第2套）"
ffightua,Final Fight (USA 900112),快打旋风（900112 美版）
ffightub,Final Fight (USA 900424),快打旋风（900424 美版）
ffightuc,Final Fight (USA 900613),快打旋风（900613 美版）
forgottn,"Forgotten Worlds (World, newer)","失落的世界（世界版, 较新版）"
forgottna,Forgotten Worlds (World),失落的世界（世界版）
forgottnu,"Forgotten Worlds (USA, B-Board 88621B-2, Rev. C)","失落的世界（美版, B-Board 88621B-2, 修正版 C）"
forgottnu1,"Forgotten Worlds (USA, B-Board 88618B-2, Rev. C)",失落的世界 美版C
forgottnua,"Forgotten Worlds (USA, B-Board 88618B-2, Rev. A)","失落的世界（美版, B-Board 88618B-2, 修正版 A）"
forgottnuaa,"Forgotten Worlds (USA, B-Board 88618B-2, Rev. AA)","失落的世界（美版, B-Board 88618B-2, 修正版 AA）"
ganbare,Ganbare! Marine Kun (Japan 2K0411),加油! 马林君（日籍舰艇 2K0411）
ghouls,Ghouls'n Ghosts (World),大魔界村（世界版）
ghoulsu,Ghouls'n Ghosts (USA),大魔界村（美版）
knights,Knights of the Round (World 911127),圆桌骑士（911127 世界版）
knightsj,"Knights of the Round (Japan 911127, B-Board 91634B-2)","圆桌骑士（911127 日版, B-Board 91634B-2）"
knightsja,"Knights of the Round (Japan 911127, B-Board 89625B-1)","圆桌骑士（911127 日版, B-Board 89625B-1）"
knightsu,Knights of the Round (USA 911127),圆桌骑士（911127 美版）
kod,The King of Dragons (World 910805),龙王战士（910805 世界版）
kodj,"The King of Dragons (Japan 910805, B-Board 90629B-3)","龙王战士（日版 910805, B-Board 90629B-3）"
kodja,"The King of Dragons (Japan 910805, B-Board 89625B-1)","龙王战士（日版 910805, B-Board 89625B-1）"
kodr1,The King of Dragons (World 910711),龙王战士（910711 世界版）
kodu,The King of Dragons (USA 910910),龙王战士（美版 910910）
lostwrld,Lost Worlds (Japan),失落的世界（日版）
lostwrldo,Lost Worlds (Japan Old Ver.),失落的世界（日版 旧版）
mbomberj,Muscle Bomber: The Body Explosion (Japan 930713),肌肉爆弹（930713 日版）
mbombrd,Muscle Bomber Duo: Ultimate Team Battle (World 931206),肌肉爆弹二重奏 - 最终之战（931206 世界版）
mbombrdj,Muscle Bomber Duo: Heat Up Warriors (Japan 931206),肌肉爆弹二重奏 - 热力战士（931206 日版）
megaman,"Mega Man: The Power Battle (CPS1, USA 951006)",洛克人 - 力量之战（951006 美版）
megamana,"Mega Man: The Power Battle (CPS1, Asia 951006)",洛克人 - 力量之战（951006 亚洲版）
mercs,Mercs (World 900302),佣兵（900302 世界版）
mercsj,Senjou no Ookami II (Japan 900302),战场之狼 II（战狼2 900302 日版）
mercsu,Mercs (USA 900608),佣兵（900608 美版）
mercsur1,Mercs (USA 900302),佣兵（900302 美版）
msword,Magic Sword: Heroic Fantasy (World 900725),魔法剑 - 英雄的幻想（25.07.1990 世界版）
mswordj,Magic Sword: Heroic Fantasy (Japan 900623),魔法剑（23.06.1990 日版）
mswordr1,Magic Sword: Heroic Fantasy (World 900623),魔法剑 - 英雄的幻想（23.06.1990 世界版）
mswordu,Magic Sword: Heroic Fantasy (USA 900725),魔法剑 - 英雄的幻想（25.07.1990 美版）
mtwins,Mega Twins (World 900619),双麒儿（900619 世界版）
nemo,Nemo (World 901130),梦幻冒险（90 11 30 世界版）
nemoj,Nemo (Japan 901120),梦幻冒险（90 11 20 日版）
nemor1,Nemo (World 901109),梦幻冒险（90 11 09 世界版）
pang3,Pang! 3 (Euro 950601),魔鬼气泡 3（950601 欧版）
pang3b,Pang! 3 (bootleg),"魔鬼气泡 3（盗版 第1套, 950511 欧版）"
pang3j,Pang! 3: Kaitou Tachi no Karei na Gogo (Japan 950511),魔鬼气泡 3 - 怪盗塔兹的华丽午后（950511 日版）
pang3r1,Pang! 3 (Euro 950511),魔鬼气泡 3（950511 欧版）
pnickj,Pnickies (Japan 940608),魔法方块（940608 日版）
pokonyan,Pokonyan! Balloon (Japan 940322),叮当猫（日版 940322）
punisher,The Punisher (World 930422),惩罚者（930422 世界版）
punisherbz,Biaofeng Zhanjing (Chinese bootleg of The Punisher),飙风战警（中国盗版）
punisherh,The Punisher (Hispanic 930422),惩罚者（930422 西班牙版）
punisherj,The Punisher (Japan 930422),惩罚者（930422 日版）
punisheru,The Punisher (USA 930422),惩罚者（930422 美版）
qad,Quiz & Dragons: Capcom Quiz Game (USA 920701),龙之迷题（卡普空益智游戏 920701 美版）
qadjr,Quiz & Dragons: Capcom Quiz Game (Japan Resale Ver. 940921),龙之迷题（940921 日版 重发售版）
qtono2j,Quiz Tonosama no Yabou 2: Zenkoku-ban (Japan 950123),殿样之野望 2 全国版问答（殿样2 950123 日版）
rockmanj,"Rockman: The Power Battle (CPS1, Japan 950922)",洛克人 - 力量之战（950922 日版）
sf2,Street Fighter II: The World Warrior (World 910522),街头霸王 II - 天下斗士（910522 世界版）
sf2acc,"Street Fighter II': Champion Edition (Accelerator!, bootleg, set 1)","街头霸王 II - 四大天王（加速器! 盗版 第1套, 920313 美版）"
sf2acca,"Street Fighter II': Champion Edition (Accelerator!, bootleg, set 2)","街头霸王 II - 四大天王（加速器! 盗版 第2套, 920310）"
sf2accp2,"Street Fighter II': Champion Edition (Accelerator Pt.II, bootleg)","街头霸王 II - 四大天王（加速器 Pt.II 盗版, 920313 Testron）"
sf2amf,"Street Fighter II': Champion Edition (Alpha Magic-F, bootleg)","街头霸王 II - 四大天王（Alpha Magic-F 盗版 第1套, 920313 世界版）"
sf2amf2,"Street Fighter II': Champion Edition (L735 Test Rom, bootleg)","街头霸王 II - 四大天王（Alpha Magic-F 盗版 第2套, 920313 世界版）"
sf2bhh,"Street Fighter II': Champion Edition (Hung Hsi, bootleg)","街头霸王 II - 四大天王（Hungh-Hsi 盗版, 920313 台湾版）"
sf2ce,Street Fighter II': Champion Edition (World 920513),街头霸王 II - 四大天王（街霸2' 920513 世界版）
sf2ceblp,Street Fighter II': Champion Edition (protected bootleg on non-dash board),街头霸王 2 - 四大天王（保护版 盗版于 non-dash 板）
sf2cebltw,Street Fighter II': Champion Edition ('Taiwan' bootleg with PAL),街头霸王 II - 四大天王（920313 PAL 台湾盗版）
sf2ceea,Street Fighter II': Champion Edition (World 920313),街头霸王 II - 四大天王（街霸2' 920313 世界版）
sf2ceja,Street Fighter II': Champion Edition (Japan 920322),街头霸王 II - 四大天王（街霸2' 920322 日版）
sf2cejb,Street Fighter II': Champion Edition (Japan 920513),街头霸王 II - 四大天王（街霸2' 920513 日版）
sf2cejc,Street Fighter II': Champion Edition (Japan 920803),街头霸王 II - 四大天王（街霸2' 920803 日版）
