MAME Name,EN Name,CN Name
kotm,King of the Monsters (set 1),怪兽之王（第1套）
kotm2,King of the Monsters 2 - The Next Thing (NGM-039 ~ NGH-039),怪兽之王 2 - 下一事件（NGM-039）（NGH-039）
kotm2p,King of the Monsters 2 - The Next Thing (prototype),怪兽之王 2 - 下一事件（工程版）
kotmh,King of the Monsters (set 2),怪兽之王（第2套）
lans2004,Lansquenet 2004 (Shock Troopers - 2nd Squad bootleg),突击骑兵 - 雇拥兵 2004（盗版）
lastblad,The Last Blade / Bakumatsu Roman - Gekka no Kenshi (NGM-2340),幕末浪漫 月华剑士（NGM-2340）
lastbladh,The Last Blade / Bakumatsu Roman - Gekka no Kenshi (NGH-2340),幕末浪漫 月华剑士（NGH-2340）
lastbld2,The Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi (NGM-2430 ~ NGH-2430),幕末浪漫第二幕 月华剑士 - 月中芳华 散落月下（NGM-2430）（NGH-2430）
lasthope,"Last Hope (bootleg AES to MVS conversion, no coin support)","最终希望（AES 转 MVS 转换版盗版, 不支持投币）"
lastsold,The Last Soldier (Korean release of The Last Blade),最后的战士（月华剑士韩版）
lbowling,League Bowling (NGM-019 ~ NGH-019),联盟保龄球（NGM-019）（NGH-019）
legendos,Legend of Success Joe / Ashita no Joe Densetsu,明日之丈传说
lresort,Last Resort,终极手段
lresortp,Last Resort (prototype),终极手段（工程版）
magdrop2,Magical Drop II,魔法堆球 II
magdrop3,Magical Drop III,魔法堆球 III
maglord,Magician Lord (NGM-005),幻魔大战（NGM-005）
maglordh,Magician Lord (NGH-005),幻魔大战（NGH-005）
mahretsu,Mahjong Kyo Retsuden (NGM-004 ~ NGH-004),麻将狂列传（NGM-004）（NGH-004）
marukodq,Chibi Marukochan Deluxe Quiz,小丸子问答
matrim,Matrimelee / Shin Gouketsuji Ichizoku Toukon (NGM-2660 ~ NGH-2660),新豪血寺一族 - 斗婚（NGM-2660）（NGH-2660）
matrimbl,Matrimelee / Shin Gouketsuji Ichizoku Toukon (bootleg),新豪血寺一族 - 斗婚（盗版）
miexchng,Money Puzzle Exchanger / Money Idol Exchanger,金钱益智对决
minasan,Minasan no Okagesamadesu! Dai Sugoroku Taikai (MOM-001 ~ MOH-001),皆大欢喜! 骰子大会（MOM-001）（MOH-001）
moshougi,Shougi No Tatsujin - Master of Shougi,将棋达人
ms4plus,Metal Slug 4 Plus (bootleg),合金弹头 4 加强版（盗版）
ms5plus,Metal Slug 5 Plus (bootleg),合金弹头 5 加强版（盗版）
mslug,Metal Slug - Super Vehicle-001,合金弹头 - 超级坦克-001
mslug2,Metal Slug 2 - Super Vehicle-001/II (NGM-2410 ~ NGH-2410),合金弹头 2 - 超级坦克-001/II（NGM-2410）（NGH-2410）
mslug3,Metal Slug 3 (NGM-2560),合金弹头 3（NGM-2560）
mslug3b6,Metal Slug 6 (Metal Slug 3 bootleg),合金弹头 6（合金弹头3盗版）
mslug3h,Metal Slug 3 (NGH-2560),合金弹头 3（NGH-2560）
mslug4,Metal Slug 4 (NGM-2630),合金弹头 4（NGM-2630）
mslug4h,Metal Slug 4 (NGH-2630),合金弹头 4（NGH-2630）
mslug5,Metal Slug 5 (NGM-2680),合金弹头 5（NGM-2680）
