Name EN,Name CN
Car-Race (Japan),汽车比赛
Car-Race (Japan) (Alt 2),汽车比赛
Car-Race (Japan) (Alt),汽车比赛
Casio Daishogai Keiba - Exciting Jockey (Japan),卡西欧大障害竞马
Casio Pachinko-U.F.O. (Japan),柏青哥 UFO
Casio Ski Command (Japan),滑雪指挥官
Casio Ski Command (Japan) (Alt),滑雪指挥官
Casio Worldopen (Japan),卡西欧高尔夫世界公开赛
Castle Excellent (Japan),精致之城
Castle Excellent (Japan) (Alt),精致之城
"Castle, The (Japan)",公主塔
Chack'n Pop (Japan) (Alt),拯救爱心
Chack'n Pop (Japan),拯救爱心
Challenge Derby (Japan),德比赛马
Champion Boxing (Japan),冠军拳击
Champion Ice Hockey (Japan),冠军冰球
Champion Kendou (Japan),冠军剑道
Champion Kendou (Japan) (Alt),冠军剑道
Champion Pro Wrestling (Japan) (Alt 2),冠军职业摔角
Champion Pro Wrestling (Japan),冠军职业摔角
Champion Pro Wrestling (Japan) (Alt),冠军职业摔角
Champion Soccer (Japan),冠军足球
Championship Lode Runner (Japan),淘金者锦标赛
Checkers in Tantan Tanuki (Japan),狸猫音乐乐园
Cheese (Japan) (Program),起司画板
Chess (Japan),国际象棋
"Chess Game, The (Europe)",国际象棋
Choplifter (Japan),营救直升机
Choplifter (Japan) (Alt),营救直升机
Choplifter (Japan) (Alt 2),营救直升机
Choro Q (Japan) (Alt),Q版碰碰车
Choro Q (Japan),Q版碰碰车
Chugaku Hisshu Eibunpo 1 (Japan),中学必修英文法 - 中学1年
Circus Charlie (Japan) (Wii U Virtual Console),马戏团
City Connection (Japan) (Alt),碰碰车
City Connection (Japan),碰碰车
Coaster Race (Japan) (Alt),云霄飞车
Coaster Race (Japan) (Alt 2),云霄飞车
Coaster Race (Japan),云霄飞车
Color Ball (Japan) (Alt 2),彩色球
Color Ball (Japan),彩色球
Color Ball (Japan) (Alt),彩色球
Come On! Picot (Japan),皮可特向前冲
Comecocos (Spain),吃豆人
Comet Tail (Japan),彗星之尾
Comic Bakery (Japan) (Alt 2),漫画面包店
Comic Bakery (Japan) (Alt),漫画面包店
Comic Bakery (Japan),漫画面包店
Computer Billiards (Japan),电脑桌球
Computer Nyuumon - Computer Lessons (Japan),电脑入门
Computer Othello (Japan),电脑黑白棋
Computer Othello (Japan) (Alt),电脑黑白棋
Computer Pachinko (Japan),电脑柏青哥
Con-Dori (Japan),空多利
