EN Name,CN Name
Labyrinth (Japan),迷宫 (日版)
Labyrinth (Japan) (Alt 1),迷宫 (日版) (Alt 1)
Lupin Sansei - Babylon no Ougon Densetsu (Japan),亚森罗平三世-巴比伦的黄金传说 (日版)
Lupin Sansei - Babylon no Ougon Densetsu (Japan) (Alt 1),亚森罗平三世-巴比伦的黄金传说 (日版) (Alt 1)
Lupin Sansei - Cagliostro no Shiro (Japan),亚森罗平三世-卡里欧斯托罗之城 (日版)
Lupin Sansei - Cagliostro no Shiro (Japan) (Alt 1),亚森罗平三世-卡里欧斯托罗之城 (日版) (Alt 1)
Mad Rider (Japan),疯狂车手 (日版)
Mad Rider (Japan) (Alt 1),疯狂车手 (日版) (Alt 1)
"Maison Ikkoku - Kanketsu Hen - Sayonara, Soshite... (Japan)",相聚一刻完结篇 (日版)
Maison Ikkoku - Omoide no Photograph (Japan),相聚一刻 (日版)
Malaya no Hibou (Japan),马来亚的秘宝 (日版)
Metal Gear (Europe),合金装备 (欧版)
Metal Gear (Japan),合金装备 (日版)
Metal Gear 2 - Solid Snake (Japan),合金装备2-固体蛇 (日版)
Metal Gear 2 - Solid Snake (Japan) (Demo),合金装备2-固体蛇 (日版) (Demo)
Mirai (Japan),未来 (日版)
Mississippi Satsujinjiken (Japan),南海道杀人事件 (日版)
Moero!! Nettou Yakyuu '88 (Japan),燃烧!热斗野球88 (日版)
Monmon Kaibutsu (Japan),闷闷怪物 (日版)
Nekketsu Juudou (Japan),热血柔道 (日版)
Nekketsu Juudou (Japan) (Alt 1),热血柔道 (日版) (Alt 1)
Ninja-kun - Asura no Shou (Japan),忍者君-阿修罗之章 (日版)
Nobunaga no Yabou - Bushou Fuuun Roku (Japan),信长之野望-武将风云录 (日版)
Nobunaga no Yabou - Sengoku Gunyuuden (Japan),信长之野望-战国群雄传 (日版)
Nobunaga no Yabou - Zenkoku Ban (Japan),信长之野望-全国版 (日版)
Ogre (Japan),主战坦克 (日版)
Ogre (Japan) (Alt 1),主战坦克 (日版) (Alt 1)
Ouke no Tani - El Giza no Fuuin - Edit Contest Yuushuu Sakuhinshuu (Japan),王家之谷2-埃卢吉扎的封印-优秀作品集 (日版)
Ouke no Tani - El Giza no Fuuin (Japan),王家之谷2-埃卢吉扎的封印 (日版)
Out Run (Japan),户外飚车 (日版)
Pachi Pro Densetsu (Japan),柏青哥传说 (日版)
Pac-Mania (Japan),疯狂吃豆 (日版)
Penguin-kun Wars 2 (Japan),投球大赛2 (日版)
Penguin-kun Wars 2 (Japan) (Alt 1),投球大赛2 (日版) (Alt 1)
Predator (Japan),铁血战士 (日版)
Pro Yakyuu Family Stadium - Pennant Race (Japan),家庭棒球 (日版)
Pro Yakyuu Fan - Telenet Stadium (Japan),职业棒球迷 (日版)
Professional Mahjong Gokuu (Japan),麻雀悟空 (日版)
Project A2 - Shijousaidai no Hyouteki (Japan),A计划2-史上最大目标 (日版)
Quarth (Japan),射击方块 (日版)
Quarth (Japan) (Demo),射击方块 (日版) (Demo)
Quarth (Korea),射击方块 (韩版)
Quinpl (Japan),钉木小子 (日版)
Rastan Saga (Japan),拉斯坦传奇 (日版)
Relics (Japan),暗黑要塞 (日版)
Replicart (Japan),贪食龙 (日版)
"Return of Ishtar, The (Japan)",伊师塔回归 (日版)
