MAME Name,EN Name,CN Name
1944,1944: The Loop Master (USA 000620),1944 - 征服世界（000620 美版）
1944d,1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg),1944 - 征服世界（000620 美版 凤凰版）
1944j,1944: The Loop Master (Japan 000620),1944 - 征服世界（000620 日版）
19xx,19XX: The War Against Destiny (USA 951207),19XX - 命运否决战（951207 美版）
19xxa,19XX: The War Against Destiny (Asia 960104),19XX - 命运否决战（960104 亚洲版）
19xxar1,19XX: The War Against Destiny (Asia 951207),19XX - 命运否决战（951207 亚洲版）
19xxb,19XX: The War Against Destiny (Brazil 951218),19XX - 命运否决战（951218 巴西版）
19xxd,19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg),19XX - 命运否决战（951207 美版）
19xxh,19XX: The War Against Destiny (Hispanic 951218),19XX - 命运否决战（951218 西班牙版）
19xxj,"19XX: The War Against Destiny (Japan 960104, yellow case)","19XX - 命运否决战（960104 日版, 黄色外壳）"
19xxjr1,19XX: The War Against Destiny (Japan 951225),19XX - 命运否决战（951225 日版）
19xxjr2,19XX: The War Against Destiny (Japan 951207),19XX - 命运否决战（951207 日版）
armwar,Armored Warriors (Euro 941024),机甲勇士（941024 欧版）
armwar1d,Armored Warriors (Euro 941011 Phoenix Edition) (bootleg),机甲勇士（941011 欧版 凤凰版）
armwara,Armored Warriors (Asia 941024),机甲勇士（941024 亚洲版）
armwarar1,Armored Warriors (Asia 940920),机甲勇士（940920 亚洲版）
armwarr1,Armored Warriors (Euro 941011),机甲勇士（941011 欧版）
armwaru,Armored Warriors (USA 941024),机甲勇士（941024 美版）
armwaru1,Armored Warriors (USA 940920),机甲勇士（940920 美版）
avsp,Alien vs. Predator (Euro 940520),异形对铁血战士（940520 欧版）
avspa,Alien vs. Predator (Asia 940520),异形对铁血战士（940520 亚洲版）
avspd,Alien vs. Predator (Euro 940520 Phoenix Edition) (bootleg),异形对铁血战士（940520 欧版 凤凰版）
avsph,Alien vs. Predator (Hispanic 940520),异形对铁血战士（940520 西班牙版）
avspj,Alien vs. Predator (Japan 940520),异形对铁血战士（940520 日版）
