Name EN,Name ZH
"Buck Bumble (Europe) (En,Fr,De,Es,It)","巴克大黄蜂(欧版)(英,法,德,西,意)"
Buck Bumble (Japan),巴克大黄蜂(日版)
Buck Bumble (USA),巴克大黄蜂(美版)
"Bug's Life, A (Europe)",虫虫特工队(欧版)
"Bug's Life, A (France)",虫虫特工队(法国)
"Bug's Life, A (Germany)",虫虫特工队(德国)
"Bug's Life, A (Italy)",虫虫特工队(意大利)
"Bug's Life, A (USA)",虫虫特工队(美版)
Bust-A-Move '99 (USA),泡泡龙'99(美版)
Bust-A-Move 2 - Arcade Edition (Europe),泡泡龙2-街机版(欧版)
Bust-A-Move 2 - Arcade Edition (USA),泡泡龙2-街机版(美版)
Bust-A-Move 3 DX (Europe),泡泡龙3-DX(欧版)
California Speed (USA),加州赛车(美版)
"Carmageddon 64 (Europe) (En,Fr,De,Es)","恶煞车手64(欧版)(英,法,德,西)"
"Carmageddon 64 (Europe) (En,Fr,Es,It)","恶煞车手64(欧版)(英,法,西,意)"
Carmageddon 64 (USA),恶煞车手64(美版)
"Castlevania (Europe) (En,Fr,De)","恶魔城默示录(欧版)(英,法,德)"
Castlevania (USA),恶魔城默示录(美版)
Castlevania (USA) (Rev 1),恶魔城默示录(美版)(版本1)
Castlevania (USA) (Rev 2),恶魔城默示录(美版)(版本2)
"Castlevania - Legacy of Darkness (Europe) (En,Fr,De)","恶魔城默示录-黑暗遗产(欧版)(英,法,德)"
Castlevania - Legacy of Darkness (USA),恶魔城默示录-黑暗遗产(美版)
Centre Court Tennis (Europe),中心球场网球赛(欧版)
Chameleon Twist (Europe),变色龙(欧版)
Chameleon Twist (Japan),变色龙(日版)
Chameleon Twist (USA),变色龙(美版)
Chameleon Twist (USA) (Rev 1),变色龙(美版)(版本1)
Chameleon Twist 2 (Europe),变色龙2(欧版)
Chameleon Twist 2 (Japan),变色龙2(日版)
Chameleon Twist 2 (USA),变色龙2(美版)
Charlie Blast's Territory (Europe),爆破工查理(欧版)
Charlie Blast's Territory (USA),爆破工查理(美版)
Chopper Attack (Europe),狂野直升机(欧版)
Chopper Attack (USA),狂野直升机(美版)
Choro Q 64 (Japan),可爱Q赛车(日版)
Choro Q 64 2 - Hacha Mecha Grand Prix Race (Japan),可爱Q赛车2(日版)
Chou Kuukan Nighter Pro Yakyuu King (Japan),超空间棒球大赛(日版)
Chou Kuukan Nighter Pro Yakyuu King 2 (Japan),超空间棒球大赛2(日版)
Chou Snobo Kids (Japan),超级滑雪小子(日版)
City-Tour GP - Zen-Nihon GT Senshuken (Japan),GT64-锦标赛版(日版)
Clay Fighter - Sculptor's Cut (USA),黏土战士-雕刻家之作(美版)
Clay Fighter 63 1-3 (Europe),黏土战士63-1-3(欧版)
Clay Fighter 63 1-3 (USA),黏土战士63-1-3(美版)
"Command & Conquer (Europe) (En,Fr)","命令与征服(欧版)(英,法)"
Command & Conquer (Germany),命令与征服(德国)
Command & Conquer (USA),命令与征服(美版)
Conker's Bad Fur Day (Europe),松鼠大作战(欧版)
Conker's Bad Fur Day (USA),松鼠大作战(美版)
Cruis'n Exotica (USA),新奇赛车(美版)
Cruis'n USA (Europe),美国赛车(欧版)
Cruis'n USA (USA),美国赛车(美版)
Cruis'n USA (USA) (Rev 1),美国赛车(美版)(版本1)
Cruis'n USA (USA) (Rev 2),美国赛车(美版)(版本2)
Cruis'n World (Europe),世界赛车(欧版)
Cruis'n World (Europe) (Rev 1),世界赛车(欧版)(版本1)
Cruis'n World (USA),世界赛车(美版)
Custom Robo (Japan),组合机器人(日版)
Custom Robo V2 (Japan),组合机器人V2(日版)
CyberTiger (Europe),泰格伍兹高尔夫(欧版)
CyberTiger (USA),泰格伍兹高尔夫(美版)
"Daffy Duck Starring as Duck Dodgers (Europe) (En,Fr,De,Es,It,Nl)","道奇鸭火星历险记(欧版)(英,法,德,西,意,荷)"
Dance Dance Revolution - Disney Dancing Museum (Japan),热舞革命-迪斯尼舞蹈博物馆(日版)
Dark Rift (Europe),宇宙战士格斗(欧版)
Dark Rift (USA),宇宙战士格斗(美版)
Deadly Arts (USA),死亡格斗(美版)
Defi au Tetris Magique (France),魔法方块挑战(法国)
Densha de Go! 64 (Japan),电车Go64(日版)
Derby Stallion 64 (Japan),德比赛马64(日版)
"Destruction Derby 64 (Europe) (En,Fr,De)","德比破坏赛车64(欧版)(英,法,德)"
Destruction Derby 64 (USA),德比破坏赛车64(美版)
Dezaemon 3D (Japan),雷电战机3D(日版)
"Diddy Kong Racing (Europe) (En,Fr,De)","迪迪刚赛车(欧版)(英,法,德)"
"Diddy Kong Racing (Europe) (En,Fr,De) (Rev 1)","迪迪刚赛车(欧版)(英,法,德)(版本1)"
