Name EN,Name CN
"Hyrule Warriors (USA) (En,Fr,Es) (Rev 1)",塞尔达无双
"Pikmin 3 (Europe) (En,Fr,De,Es,It)",皮克敏 3
"Sports Connection (Europe) (En,Fr,De,Es,It,Nl,Ru,Ca)",体育连线
"Nickelodeon SpongeBob SquarePants - Plankton's Robotic Revenge (Europe) (En,Fr,De,Es,It,Nl,Sv)",海绵宝宝 - 痞老板机器人复仇
"Super Mario Maker (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)",马里奥制造
"New Super Mario Bros. U (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)",新超级马里奥兄弟 U
"Captain Toad - Treasure Tracker (USA) (En,Fr,Es) (Rev 1)",蘑菇队长 奇诺比奥 - 宝藏追踪者
"Mario Party 10 (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)",马里奥派对 10
"Skylanders - Swap Force (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",小龙斯派罗 - 云雀交换部队
"Skylanders - Giants (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",小龙斯派罗 - 巨人
"Animal Crossing - Amiibo Festival (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)",动物之森 - Amiibo节日
"Assassin's Creed III (Europe) (En,Fr,De,Es,It,Nl,Ru)",刺客信条 3
"Call of Duty - Black Ops II (Europe) (En,Fr)",使命召唤 - 黑色行动 2
"Call of Duty - Ghosts (Europe) (En,Fr,De)",使命召唤 - 幽灵
"Assassin's Creed III (USA) (En,Fr,Es,Pt)",刺客信条 3
"Assassin's Creed IV - Black Flag (USA) (En,Fr,Es,Pt)",刺客信条 4 - 黑旗
"Batman - Arkham City - Armored Edition (USA) (En,Fr,Es,Pt)",蝙蝠侠 - 阿卡姆之城 装甲版
"Batman - Arkham Origins (USA) (En,Fr,Es)",蝙蝠侠 - 阿卡姆起源
"Disney Epic Mickey 2 - The Power of Two (USA) (En,Fr,Es)",迪士尼 传奇米老鼠 2 - 双重威力
"Shantae - Half-Genie Hero (USA) (En,Fr,Es)",桑塔 - 半精灵英雄
Shovel Knight (USA),铲子骑士
"Pac-Man and the Ghostly Adventures (USA) (En,Fr,Es,Pt)",吃豆人的鬼魅历险
"Pac-Man and the Ghostly Adventures 2 (USA) (En,Fr,Es,Pt)",吃豆人的鬼魅历险 2
"LEGO Batman 2 - DC Super Heroes (USA) (En,Fr,Es,Pt)",乐高蝙蝠侠 2 - DC超级英雄
"LEGO Batman 3 - Beyond Gotham (USA) (En,Fr,Es,Pt)",乐高蝙蝠侠 3 - 飞跃高谭市
"LEGO City Undercover (USA) (En,Fr,Es)",乐高都市 - 卧底风云
"LEGO City Undercover (USA) (En,Fr,Es) (Rev 1)",乐高都市 - 卧底风云
"LEGO Marvel Avengers (USA) (En,Fr,Es,Pt)",乐高复仇者联盟
"LEGO Marvel Super Heroes (USA) (En,Fr,Es,Pt)",乐高漫威超级英雄
"LEGO Movie, The - Videogame (USA) (En,Fr,Es,Pt)",乐高大电影
"ZombiU (Europe) (En,Fr,De,Es,It,Nl,Ru)",行尸走肉
"Game Party Champions (USA) (En,Fr,Es)",游戏派对冠军
"Ninja Gaiden 3 - Razor's Edge (Europe) (En,Ja,Fr,De,Es,It)",忍者龙剑传 3 - 刀锋边缘
"SiNG Party (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)",歌唱派对
"Darksiders II (Europe) (En,Fr,De,Es,It)",暗黑血统 2
"Your Shape - Fitness Evolved 2013 (Europe) (En,Fr,De,Es,It)",我型我塑 2013
"007 Legends (Europe) (En,Fr,De)",007 - 传奇
"Disney Epic Mickey 2 - The Power of Two (Europe) (En,Es)",迪士尼 传奇米老鼠 2 - 双重威力
"Family Party - 30 Great Games - Obstacle Arcade (Europe) (En,Fr,De,Es,It)",家庭聚会 - 30大游戏障碍街机
"Batman - Arkham Origins (Europe) (En,Fr,De,Es,It,Ru)",蝙蝠侠 - 阿卡姆起源
"Just Dance 2015 (Europe) (En,Fr,De,Es,It,Nl)",舞力全开 2015
"Disney Planes - Fire & Rescue (Europe) (En,Fr,De,Es,It)",迪士尼 飞机总动员 - 火线救援
"Batman - Arkham City - Armoured Edition (Europe) (En,Fr,De,Es,It,Ru)",蝙蝠侠 - 阿卡姆之城 装甲版
"Skylanders - Trap Team (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",小龙斯派罗 - 诱捕小队
"Injustice - Gods Among Us (Europe) (En,Fr,De,Es,It,Ru)",不义联盟 - 我们心中的神
"Disney Planes (Europe) (En,Fr,De,Es,It,Nl)",迪士尼 飞机总动员
"Just Dance 2014 (Europe) (En,Fr,De,Es,It,Nl)",舞力全开 2014
"Mass Effect 3 - Special Edition (Europe) (En,Fr,De,Es,It)",质量效应3 特别版
"Amazing Spider-Man 2, The (Europe) (En,Fr,De,Es,It)",超凡蜘蛛侠 2
"Skylanders - SuperChargers (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",小龙斯派罗 - 超级充能者
"Snoopy's Grand Adventure (USA) (En,Fr)",史努比的大冒险
Tumblestone (USA),翻滚石块
"Game Party Champions (Europe) (En,Fr,De,Es,It,Nl)",游戏派对冠军
"NES Remix Pack (USA) (En,Fr,Es)",经典FC游戏合集
"Wii Fit U (Europe) (En,Fr,De,Es,It) (Rev 2)",Wii Fit U
"Wii Party U (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru) (Rev 1)",Wii派对 U
"Legend of Kay - Anniversary (Europe) (En,Fr,De,Es,It)",凯之传奇 十周年纪念版
"Just Dance 2014 (USA) (En,Fr,Es,Pt)",舞力全开 2014
"Teslagrad (Europe) (En,Fr,De,Es,It)",特斯拉学徒
"Monster High - New Ghoul in School (Europe) (En,Fr,De,Es,It)",精灵高中 - 学校里的新食尸鬼
"Ben 10 - Omniverse (Europe) (En,Fr,De,Es,It,Ru)",少年骇客 - 全面进化
"Transformers - Rise of the Dark Spark (Europe) (En,Fr,De,Es,It)",变形金刚 - 暗焰崛起
"Just Dance 4 (USA) (En,Fr,Es,Pt)",舞力全开 4
"Just Dance 2015 (USA) (En,Fr,Es,Pt)",舞力全开 2015
"Just Dance 2016 (USA) (En,Fr,Es,Pt)",舞力全开 2016
"Skylanders - SuperChargers (USA) (En,Fr,Es,Pt)",小龙斯派罗 - 超级充能者
"Baila Latino (Europe) (En,Fr,De,Es,It)",拉丁健身
"Devil's Third (Europe) (En,Fr)",恶魔三人组
"Funky Barn (Europe) (En,Fr,De,Es,It)",快乐动物牧场
"Transformers Prime - The Game (Europe) (En,Fr,De,Es,It,Nl,Sv)",变形金刚 Prime
"LEGO Batman 3 - Beyond Gotham (Europe) (En,Fr,De,Es,It,Nl,Da)",乐高蝙蝠侠 3 - 飞跃高谭市
"LEGO Jurassic World (Europe) (En,Fr,De,Es,It,Nl,Da)",乐高侏罗纪公园
"LEGO The Hobbit (Europe) (En,Fr,De,Es,It,Nl,Da)",哈比人乐高
"Sonic & All-Stars Racing Transformed (Europe) (En,Fr,De,Es,It)",全明星赛
"Amazing Spider-Man, The - Ultimate Edition (Europe) (En,Fr,De,Es,It)",超凡蜘蛛侠 终极版
"Scribblenauts Unlimited (USA) (En,Fr,Es,Pt)",神笔涂鸦王无限
"Disney Infinity (USA) (En,Fr,Es,Pt)",迪士尼无限
"Disney Infinity (Europe) (En,Fr,De,Es,It,Nl)",迪士尼无限
"Rayman Legends (Europe) (En,Fr,De,Es,It,Nl)",雷曼 - 传奇
"Mario Tennis - Ultra Smash (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)",马里奥网球 - 超级粉碎
"LEGO Dimensions (USA) (En,Fr,Es)",乐高次元
"Call of Duty - Ghosts (USA) (En,Fr)",使命召唤 - 幽灵
"Need for Speed - Most Wanted U - A Criterion Game (USA) (En,Fr,Es)",极品飞车 17 - 最高通缉 U
"Resident Evil - Revelations (Europe) (En,Ja,Fr,De,Es,It,Nl,Pt,Pl,Ru) (Rev 1)",生化危机 - 启示录
"Book of Unwritten Tales 2, The (Europe) (En,Fr,De,Es,It)",未传之书 2
"Luv Me Buddies - Wonderland (Europe) (En,Fr,De,Es,It)",爱我朋友仙境
"Disney Infinity 3.0 - Play Without Limits (Europe) (En,Fr,De,Es,It,Nl)",迪士尼无限 3.0
"Watch_Dogs (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)",看门狗
"Disney Infinity 2.0 - Play Without Limits (Europe) (En,Fr,De,Es,It,Nl) (Rev 1)",迪士尼无限 2.0
"Tom Clancy's Splinter Cell - Blacklist (Europe) (En,Fr,De,Es,It,Nl,Ru)",细胞分裂 - 黑名单
"DreamWorks The Croods - Prehistoric Party! (Europe) (En,Fr,De,Es,It)",疯狂原始人 - 史前派对
"Rabbids Land (Europe) (En,Fr,De,Es,It,Nl,Ru)",疯狂兔子乐园
"Game & Wario (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)",游戏与战争
"Rayman Legends (USA) (En,Fr,Es)",雷曼 - 传奇
"Disney Infinity 2.0 Edition (USA) (En,Fr,Es,Pt)",迪士尼无限 2.0
"NBA 2K13 (Europe) (En,Fr,De,Es,It)",NBA篮球 2K13
"LEGO City Undercover (Europe) (En,Fr,De,Es,It,Nl,Pt,Da,Ru) (Rev 1)",乐高都市 - 卧底风云
"LEGO Marvel Avengers (Europe) (En,Fr,De,Es,It,Nl,Da)",乐高复仇者联盟
"Splatoon (Europe) (En,Fr,De,Es,It)",喷射战士
"Warriors Orochi 3 Hyper (Europe) (En,Fr,De,Es,It)",无双大蛇2 Hyper
"Game & Wario (USA) (En,Fr,Es)",游戏与战争
"Injustice - Gods Among Us (USA) (En,Fr,Es,Pt)",不义联盟 - 我们心中的神
"Tank! Tank! Tank! (USA) (En,Fr,Es)",坦克大战
"Watch_Dogs (USA) (En,Fr,Es,Pt)",看门狗
"Marvel Avengers - Battle for Earth (USA) (En,Fr,Es,Pt)",复仇者联盟 - 为地球而战
"Ninja Gaiden 3 - Razor's Edge (USA) (En,Ja,Fr,De,Es,It)",忍者龙剑传 3 - 刀锋边缘
"Scribblenauts Unmasked - A DC Comics Adventure (USA) (En,Fr,Es,Pt)",乱涂乱画揭露DC漫画冒险
"Skylanders - Imaginators (USA) (En,Fr,Es,Pt)",小龙斯派罗 - 幻想者
"Skylanders - Trap Team (USA) (En,Fr,Es,Pt)",小龙斯派罗 - 诱捕小队
"Your Shape - Fitness Evolved 2013 (USA) (En,Fr,Es)",我型我塑 2013
"Sonic Lost World (Europe) (En,Ja,Fr,De,Es,It)",索尼克失落世界
"Snoopy's Grand Adventure (Europe) (En,Fr,De,Es,It,Nl,Sv)",史努比的大冒险
