Name EN,Name ZH
Doraemon - Noranosuke no Yabou (Japan),小叮当-野良之介的野望(日版)
Doraemon - Waku Waku Pocket Paradise (Japan),小叮当-火热火热口袋天堂(日版)
"Double Dragon (USA, Europe)","双截龙(美版,欧版)"
"Dr. Robotnik's Mean Bean Machine (USA, Europe)","蛋头博士的神奇机器(美版,欧版)"
Dragon - The Bruce Lee Story (Europe),李小龙传奇(欧版)
Dragon - The Bruce Lee Story (USA),李小龙传奇(美版)
"Dragon Crystal (USA, Europe)","龙之水晶(美版,欧版)"
Dragon Crystal - Tsurani no Meikyuu (Japan),龙之水晶(日版)
Dunk Kids (Japan),灌篮小子(日版)
Dynamite Headdy (Japan),铁头小子(日版)
"Dynamite Headdy (USA, Europe)","铁头小子(美版,欧版)"
Earthworm Jim (Europe),蚯蚓战士(欧版)
Earthworm Jim (USA),蚯蚓战士(美版)
"Ecco - The Tides of Time (USA, Europe, Brazil) (En)","小海豚2-潮汐时间(美版,欧版,巴西)(英)"
Ecco the Dolphin (Japan),小海豚(日版)
"Ecco the Dolphin (USA, Europe, Brazil) (En)","小海豚(美版,欧版,巴西)(英)"
Ecco the Dolphin II (Japan),小海豚2-潮汐时间(日版)
"Ernie Els Golf (Europe) (En,Fr,De,Es,It)","艾尔斯高尔夫(欧版)(英,法,德,西,意)"
Eternal Legend - Eien no Densetsu (Japan),永恒传说(日版)
"Evander Holyfield's 'Real Deal' Boxing (USA, Europe)","霍拳王拳击(美版,欧版)"
"Excellent Dizzy Collection, The (Europe)",出色的眩晕收集(欧版)
"F-15 Strike Eagle (USA, Europe)","F-15打击之鹰(美版,欧版)"
"F1 (USA, Europe)","F1赛车(美版,欧版)"
F1 - World Championship Edition (Europe),F1赛车-世界冠军版(欧版)
FIFA International Soccer (Japan),FIFA国际足球(日版)
"FIFA International Soccer (USA, Europe)","FIFA国际足球(美版,欧版)"
"FIFA Soccer 96 (USA, Europe) (En,Fr,De,Es)","FIFA足球96(美版,欧版)(英,法,德,西)"
Faceball 2000 (Japan),小精灵炮弹对决2000(日版)
"Factory Panic (Europe, Brazil) (En)","工厂大战(欧版,巴西)(英)"
"Fantastic Dizzy (USA, Europe) (En,Fr,De,Es,It)","迪兹蛋奇幻冒险(美版,欧版)(英,法,德,西,意)"
"Fantasy Zone (Japan, Europe) (En)","幻想地带(日版,欧版)(英)"
"Fantasy Zone (USA, Brazil) (En)","幻想地带(美版,巴西)(英)"
Fatal Fury Special (Europe),饿狼传说特别版(欧版)
Fatal Fury Special (USA),饿狼传说特别版(美版)
"Foreman for Real (Japan, USA) (En)","真实拳击(日版,美版)(英)"
Frank Thomas Big Hurt Baseball (USA),法兰克汤姆斯棒球(美版)
Fray - Shugyou Hen (Japan),法莉的修行(日版)
Fred Couples Golf (Japan),高尔夫协会(日版)
Fred Couples Golf (USA),高尔夫协会(美版)
From TV Animation Slam Dunk - Shouri e no Starting 5 (Japan),灌篮高手(日版)
G-LOC - Air Battle (Japan),G-Loc空战(日版)
G-LOC - Air Battle (Japan) (Rev 1),G-Loc空战(日版)(版本1)
"G-LOC - Air Battle (USA, Europe, Brazil) (En)","G-Loc空战(美版,欧版,巴西)(英)"
GG Aleste (Japan) (En),GG雅士达战机(日版)(英)
GG Aleste (Japan) (En) (Aleste Collection),GG雅士达战机(日版)(英)(雅士达合集)
GG Aleste 3 (Japan) (En) (Aleste Collection),GG雅士达战机3(日版)(英)(雅士达合集)
GG Aleste II (Japan) (En) (Aleste Collection),GG雅士达战机2(日版)(英)(雅士达合集)
GG Portrait - Pai Chen (Japan),GG描绘女孩版-陈佩(日版)
GG Portrait - Yuuki Akira (Japan),GG描绘女孩版-梅小路葵(日版)
"GG Shinobi, The (Japan)",忍(日版)
GP Rider (Japan),GP车手(日版)
GP Rider (World),GP车手(世界)
Galaga '91 (Japan),大蜜蜂91(日版)
Galaga 2 (Europe),大蜜蜂2(欧版)
Gamble Panic (Japan),扑克大战(日版)
Gambler Jiko Chuushinha (Japan),自己中心派麻将(日版)
Ganbare Gorby! (Japan),加油戈比(日版)
"Garfield - Caught in the Act (USA, Europe)","加菲猫在行动(美版,欧版)"
Garou Densetsu Special (Japan),饿狼传说特别版(日版)
Gear Stadium (Japan),激斗棒球(日版)
Gear Stadium Heiseiban (Japan),激斗棒球-平成版(日版)
Gear Works (USA),齿轮工厂(美版)
"George Foreman's KO Boxing (USA, Europe)","KO拳击(美版,欧版)"
Global Gladiators (Europe),米克与麦可(欧版)
Gojira - Kaijuu Daishingeki (Japan),怪兽大进击(日版)
"Greendog - The Beached Surfer Dude! (USA, Brazil) (En)","绿狗(美版,巴西)(英)"
Griffin (Japan),格里芬战车(日版)
Gunstar Heroes (Japan),火枪英雄(日版)
Halley Wars (Japan),哈雷大战(日版)
"Halley Wars (USA, Europe, Brazil) (En)","哈雷大战(美版,欧版,巴西)(英)"
Head Buster (Japan),机器人竞技场(日版)
Heavy Weight Champ (Japan),重量级冠军(日版)
"Home Alone (USA, Europe, Brazil) (En)","小鬼当家(美版,欧版,巴西)(英)"
Honoo no Toukyuuji - Dodge Danpei (Japan),炎之斗球儿-弹平(日版)
Hook (Europe),铁钩船长(欧版)
Hook (USA),铁钩船长(美版)
