Name EN,Name ZH
Virtua Fighter 2 (Europe) (Rev A) (Made in EU),VR战士 2
Dragon Force (Japan) (4M),龙之力量
Jikkyou Powerful Pro Yakyuu '95 - Kaimakuban (Japan) (2M),实况力量棒球 '95 开幕版
Virtua Cop 2 (Europe),VR战警 2
"Rayman (Europe) (En,Fr,De) (6S)",雷曼
Bust-A-Move 3 (Europe),泡泡龙 3
Soviet Strike (Europe),攻击苏联
Pocket Fighter (Japan),口袋战士
Dragon Ball Z - Shinbutouden (Japan),龙珠 Z - 真武斗传
Scorcher (Europe),滚石赛车
Sega Rally Championship (Europe) (Made in EU),世嘉拉力
"Story of Thor 2, The (Europe)",光之继承者 2
Sonic R (Europe),索尼克 R
Riglordsaga (Japan) (Made in U.S.A.) (4S),王国传说
Touge King the Spirits (Japan),山顶赛车
Guardian Heroes (Europe),守护英雄
Dark Savior (Europe),黑暗救世主
Resident Evil (Europe),生化危机
Shining the Holy Ark (Europe),光明圣柜
Ronde (Japan) (Disc 1),轮舞曲
Ronde (Japan) (Disc 2),轮舞曲
Alien Trilogy (USA),异形三部曲
Virtua Cop (Europe) (4S),VR战警
Whizz (Europe),梦游仙境兔
Manx TT SuperBike (Europe),麦斯超级机车赛 TT
Krazy Ivan (Germany),疯狂伊万
"Myst (Europe) (En,Fr,De,Es)",神秘岛
Wipeout (Europe),反重力赛车
Mystaria - The Realms of Lore (Europe),王国传说
J.League Pro Soccer Club o Tsukurou! (Japan) (Rev A),J联盟职业创造球会
Metal Slug - Super Vehicle-001 (Japan),合金弹头 - 超级战车 001
Virtua Racing (USA) (12S),VR赛车
Daytona USA (Japan),梦游美国
Virtua Cop (Japan) (2M),VR战警
Sega Rally Championship (Japan),世嘉拉力
"Sakura Taisen (Japan) (Disc 1) (8M, 13M)",樱花大战
"Dragon Force (Japan) (1M, 2M, 3M)",龙之力量
Thor - Seireioukiden (Japan),光之继承者 - 精灵王纪传
Shining Wisdom (Japan) (Rev A),光明智慧
Shin Shinobiden (Japan),新忍传
Baku Baku Animal - Sekai Shiiku Gakari Senshuken (Japan) (Rev A),爆裂方块 - 世界动物园管理员大赛
Linkle Liver Story (Japan),智慧河的故事
Golden Axe - The Duel (Japan) (2M),战斧格斗篇
Magic Knight Rayearth (Japan) (Genteiban) (1M),魔法骑士雷亚斯
"Panzer Dragoon (Japan) (3A, 3B)",铁甲飞龙
Azel - Panzer Dragoon RPG (Japan) (Disc 1) (1M),铁甲飞龙 RPG
Azel - Panzer Dragoon RPG (Japan) (Disc 2) (2M),铁甲飞龙 RPG
Azel - Panzer Dragoon RPG (Japan) (Disc 3) (1M),铁甲飞龙 RPG
"Azel - Panzer Dragoon RPG (Japan) (Disc 4) (2M, 3M)",铁甲飞龙 RPG
DecAthlete (Japan) (2M),十项全能
Guardian Heroes (Japan) (3M),守护英雄
"Kisuishou Densetsu Astal (Japan) (1M, 4M)",辉水晶传说
Slayers Royal 2 (Japan) (1M),魔剑美神 2
Super Robot Taisen F - Kanketsu-hen (Japan) (Rev A) (10M),超级机器人大战 F 完结篇
Virtua Fighter CG Portrait Series Vol. 4 - Pai Chan (Japan) (2M),
"Super Robot Taisen F (Japan) (Rev A) (10M, 11M, 12M, 13M)",超级机器人大战 F
"King of Boxing, The (Japan)",拳击王
Oh-chan no Oekaki Logic (Japan),逻辑绘图方块
Pro Yakyuu Greatest Nine '97 (Japan) (Rev A),最强九人棒球 '97
Digital Dance Mix Vol. 1 - Namie Amuro (Japan) (Rev A) (11M),
Sakura Taisen - Hanagumi Tsuushin (Japan) (2M),
Game-Ware Vol. 3 (Japan),
