Name EN,Name ZH
"Rez (Europe) (En,Ja,Fr,De,Es,It)",解禁
Tech Romancer (Europe),超钢战记
Grandia II (Europe),格兰蒂亚 2
Under Defeat (Japan),天翔铁骑
Super Robot Taisen Alpha (Japan),超级机器人大战 Alpha
Dreamkey Version 1.5 (Europe),
"King of Fighters, The - Dream Match 1999 (Japan) (En,Ja,Es,Pt)",拳皇 - 梦幻对决 1999
Street Fighter Alpha 3 (Europe),少年街霸 3
"F355 Challenge - Passione Rossa (Europe) (En,Fr,De,Es,It)",法拉利F355挑战赛 - 热情红
"ChuChu Rocket! (USA) (En,Ja,Fr,De,Es)",啾啾火箭队
South Park - Chef's Luv Shack (USA),南方公园 - 厨师的爱心小屋
Ready 2 Rumble Boxing (USA) (Rerelease),爆笑拳击
Coaster Works (USA),过山车大亨
TrickStyle (USA),极限滑板
WWF Royal Rumble (USA),WWF皇家摔跤
Aero Dancing featuring Blue Impulse (Japan),飞空之舞 - 蓝色冲击波
Sonic Adventure (Japan),索尼克大冒险
NBA 2K2 (USA),美国职业篮球联赛 2K2
Virtua Fighter 3tb (Japan) (Rev 1),VR战士 3tb
Project Berkley (Japan),
Sentimental Graffiti 2 (Japan) (Disc 1),青涩之恋 2
Sentimental Graffiti 2 (Japan) (Disc 2),青涩之恋 2
Dynamite Deka 2 (Japan),快打刑事 2
Zombie Revenge (Japan),僵尸复仇
Shenmue - Isshou Yokosuka (Japan) (Disc 1),莎木 第一章 - 横须贺
Shenmue - Isshou Yokosuka (Japan) (Disc 2),莎木 第一章 - 横须贺
Shenmue - Isshou Yokosuka (Japan) (Disc 3),莎木 第一章 - 横须贺
Shenmue - Isshou Yokosuka (Japan) (Shenmue Passport) (Rev D),莎木 第一章 - 横须贺
Chu-Chu Rocket! (Japan),啾啾火箭队
Dennou Senki - Virtual-On - Oratorio Tangram (Japan),电脑战机 - 网络战队
Sakura Taisen - Hanagumi Taisen Columns 2 (Japan),樱花大战 - 花组对战方块 2
Power Stone (Japan),能量宝石
NFL Quarterback Club 2000 (USA),美国橄榄球联盟四分卫俱乐部 2000
Sega Bass Fishing (USA),世嘉巴斯钓鱼
Space Channel 5 (USA),太空频道 5
"Tennis 2K2 (USA) (En,Ja,Fr,De,Es) (Rev A)",网球 2K2
Rent a Hero No. 1 (Japan),出租英雄
Jet Set Radio (Japan),街头涂鸦
18 Wheeler - American Pro Trucker (Japan),18轮大卡车 - 美国职业卡车司机
Daytona USA 2001 (Japan),梦游美国 2001
Caesars Palace 2000 - Millennium Gold Edition (Europe),凯撒的宫殿 - 千年的黄金
"MSR - Metropolis Street Racer (Europe) (En,Fr,De,Es)",MSR大都市赛车
"UEFA Dream Soccer (Germany) (En,Fr,De,Es)",UEFA梦幻足球
Dave Mirra Freestyle BMX (Europe),BMX特技自行车
NFL Quarterback Club 2000 (Europe),美国橄榄球联盟四分卫俱乐部 2000
"Sega Worldwide Soccer 2000 - Euro Edition (Europe) (En,Fr,De,Es)",世嘉全球足球 2000 欧洲杯版
"Suzuki Alstare - Extreme Racing (Europe) (En,Fr,De,Es,It)",铃木摩托车赛 - 极限赛车
Capcom vs. SNK - Millennium Fight 2000 (Japan),卡普空对SNK - 千禧格斗 2000
"UEFA Striker (Europe) (En,Fr,De,Es,It,Nl)",欧足联前锋
Power Smash - Sega Professional Tennis (Japan),威力网球
"Phantasy Star Online (Japan) (En,Ja,Fr,De,Es)",梦幻之星在线
"Sonic Adventure 2 - The Trial (USA, Japan) (En,Ja)",
"Fighting Vipers 2 (Japan) (En,Ja)",格斗之蛇 2
"Crazy Taxi 2 (Japan) (En,Ja)",疯狂出租车 2
"Phantasy Star Online Ver. 2 (Japan) (En,Ja,Fr,De,Es)",梦幻之星在线 - V2
Shenmue II (Japan) (Disc 1),莎木 2
Shenmue II (Japan) (Disc 2),莎木 2
Shenmue II (Japan) (Disc 3),莎木 2
Shenmue II (Japan) (Disc 4),莎木 2
Power Smash 2 - Sega Professional Tennis (Japan),威力网球 2
"De La Jet Set Radio (Japan) (En,Ja,Fr,De,Es)",街头涂鸦 加强版
"Sonic Adventure 2 (Japan) (En,Ja,Fr,De,Es)",索尼克大冒险 2
Alien Front Online (USA),异形前线
"Jimmy White's 2 - Cueball (Europe) (En,Fr,De,Es,It)",吉米撞球
"Soulcalibur (Europe) (En,Fr,De,Es)",灵魂能力
"King of Fighters 2000, The (Japan)",拳皇 2000
Fushigi no Dungeon - Fuurai no Shiren Gaiden - Onna Kenshi Asuka Kenzan! (Japan),不可思议的迷宫 - 风来西林外传 - 女剑士飞鸟见参
"Jet Set Radio (Europe) (En,Fr,De,Es)",街头涂鸦
"MSR - Metropolis Street Racer (Europe) (En,Fr,De,Es) (Rev A)",MSR大都市赛车
"Virtua Athlete 2K (Europe) (En,Fr,De,Es)",VR运动会 2K
"Dreamon Collection 4 (Europe) (En,Fr,De,Es)",
Power Stone 2 (Europe),能量宝石 2
Shikigami no Shiro II (Japan),式神之城 2
Dreamkey Version 1.5 (France),
"Sega GT (Europe) (En,Fr,De,Es)",世嘉GT
"Dreamon Volume 17 (Europe) (En,Fr,De,Es)",
"Nightmare Creatures II (Europe) (En,Fr,De,Es)",恶梦鬼魅 2
Shadow Man (Germany),影子武士
"Shenmue II (Europe) (En,Fr,De,Es) (Disc 1)",莎木 2
"Shenmue II (Europe) (En,Fr,De,Es) (Disc 2)",莎木 2
"Shenmue II (Europe) (En,Fr,De,Es) (Disc 3)",莎木 2
"Shenmue II (Europe) (En,Fr,De,Es) (Disc 4)",莎木 2
"TrickStyle (Europe) (En,Fr,De,Es,It)",极限滑板
"Vanishing Point (Europe) (En,Fr,De,Es,It)",消失点
Legacy of Kain - Soul Reaver (Germany),凯恩的遗物 - 勾魂使者
NHL 2K (Europe),加拿大冰球联赛 2K
Biohazard - Code - Veronica (Japan) (Disc 1) (Genteiban),生化危机 - 代号维罗妮卡
Biohazard - Code - Veronica (Japan) (Disc 2) (Genteiban),生化危机 - 代号维罗妮卡
Hydro Thunder (Europe),雷霆快艇
"Dreamon Volume 4 (Europe) (En,Fr,De,Es)",
"Dreamon Volume 6 (Europe) (En,Fr,De,Es)",
"Dreamon Volume 7 (Europe) (En,Fr,De,Es)",
"Dreamon Volume 8 (Europe) (En,Fr,De,Es)",
"Dreamon Volume 10 (Germany) (En,Fr,De,Es)",
"Dreamon Volume 11 (Europe) (En,Fr,De,Es)",
"Dreamon Volume 5 (Europe) (En,Fr,De,Es)",
"Dreamon Volume 9 (Europe) (En,Fr,De,Es)",
GigaWing 2 (Japan),雷鸟之翼 2
Resident Evil - Code - Veronica (Europe) (Disc 1),生化危机 - 代号维罗妮卡
Resident Evil - Code - Veronica (Europe) (Disc 2),生化危机 - 代号维罗妮卡
"Crazy Taxi (Europe) (En,Ja)",疯狂出租车
Dead or Alive 2 (Europe),生或死 2
"MagForce Racing (Europe) (En,Fr,De,Es,It)",梅格大赛车
"MDK2 (Europe) (En,Fr,De,Es,It)",孤胆英雄 2
Marvel vs. Capcom - Clash of Super Heroes (Europe),漫威英雄VS卡普空 - 超级英雄的碰撞
Psychic Force 2012 (Europe),超能力格斗 2012
Biohazard - Code - Veronica - Kanzenban (Japan) (Disc 1),生化危机 - 代号维罗妮卡 完全版
Biohazard - Code - Veronica - Kanzenban (Japan) (Disc 2),生化危机 - 代号维罗妮卡 完全版
Biohazard - Code - Veronica - Trial Edition (Japan),
"Worms World Party (Europe) (En,Fr,De,Es,It,Nl,Sv,Da)",百战天虫 - 世界派对
Dino Crisis (Europe),恐龙危机
Dino Crisis (Japan),恐龙危机
Resident Evil 2 (USA) (Disc 1),生化危机 2
Resident Evil 2 (USA) (Disc 2),生化危机 2
"Resident Evil 2 (Europe) (En,Fr) (Disc 1)",生化危机 2
"Resident Evil 2 (Europe) (En,Fr) (Disc 2)",生化危机 2
Resident Evil - Code - Veronica (Germany) (Disc 1),生化危机 - 代号维罗妮卡
Resident Evil - Code - Veronica (Germany) (Disc 2),生化危机 - 代号维罗妮卡
Resident Evil 3 - Nemesis (USA),生化危机 3 - 复仇女神
Biohazard 2 - Value Plus (Japan) (Disc 1),生化危机 2 超值版
Biohazard 2 - Value Plus (Japan) (Disc 2),生化危机 2 超值版
"Dreamon Collection 3 (Europe) (En,Fr,De,Es)",
Biohazard 3 - Last Escape (Japan),生化危机 3 - 最后逃亡
"Dreamon Volume 2 (Europe) (En,Fr,De,Es)",
"Dreamon Volume 16 (Europe) (En,Fr,De,Es)",
"Dreamon Volume 15 (Europe) (En,Fr,De,Es)",
"Dreamon Volume 19 (Europe) (En,Fr,De,Es)",
"Dreamon Volume 13 (Europe) (En,Fr,De,Es)",
"Dreamon Volume 20 (Europe) (En,Fr,De,Es)",
Web Browser (USA) (Rev A),
Generator Vol. 1 (USA),
Official Sega Dreamcast Magazine Vol. 2 - November 1999 (USA),
Official Sega Dreamcast Magazine Vol. 9 - December 2000 (USA),
"Dreamon Volume 10 (Europe) (En,Fr,De,Es)",
"Dreamon Volume 3 (Europe) (En,Fr,De,Es)",
"Dreamon Volume 12 (Europe) (En,Fr,De,Es)",
"Dreamon Volume 14 (Europe) (En,Fr,De,Es)",
"Dreamon Volume 18 (Europe) (En,Fr,De,Es)",
"Dreamon Volume 21 (Europe) (En,Fr,De,Es)",
"Resident Evil 3 - Nemesis (Europe) (Fr,Es)",生化危机 3 - 复仇女神
Resident Evil - Code - Veronica (France) (Disc 1),生化危机 - 代号维罗妮卡
Resident Evil - Code - Veronica (France) (Disc 2),生化危机 - 代号维罗妮卡
Tom Clancy's Rainbow Six incl. Eagle Watch Missions (Germany),彩虹六号 - 鹰眼行动
Quake III - Arena (USA),雷神之锤 3 - 竞技场
Mortal Kombat Gold (USA) (Rev 1),真人快打黄金版
Shinki Sekai Evolution (Japan),神机世界 - 进化
Dream Passport (Japan),
Sakura Taisen (Japan) (Disc 1),樱花大战
Sakura Taisen (Japan) (Disc 2),樱花大战
Sakura Taisen (Japan) (Omake Disc),樱花大战
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 1)",樱花大战 2 - 愿君平安
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 2)",樱花大战 2 - 愿君平安
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 3)",樱花大战 2 - 愿君平安
Sakura Taisen 3 - Paris wa Moeteiru ka - Preview Disc (Japan),
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 1),樱花大战 3 - 巴黎在燃烧吗
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 2),樱花大战 3 - 巴黎在燃烧吗
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 3),樱花大战 3 - 巴黎在燃烧吗
Sakura Taisen 4 - Koi seyo Otome (Japan),樱花大战 4 - 恋爱吧少女
Sakura Taisen 3 - Paris wa Moeteiru ka - Drama Download Disc (Japan),
GigaWing (Japan),雷鸟之翼
Jojo no Kimyou na Bouken - Mirai e no Isan (Japan),乔乔的奇妙冒险 - 未来遗产
Marvel vs. Capcom - Clash of Super Heroes (Japan),漫威英雄VS卡普空 - 超级英雄的碰撞
Street Fighter III - 3rd Strike - Fight for the Future (Japan),街头霸王 3 - 第三次冲击 为未来而战
Street Fighter III - W Impact (Japan),街头霸王 3 - 双重冲击
Street Fighter Zero 3 - Saikyo-ryu Dojo (Japan),街头霸王 ZERO 3 - 最强道场
Virtua Fighter History-VF4 (Japan),
Triggerheart Exelica (Japan),扳机之心
Resident Evil - Code - Veronica (Spain) (Disc 2),生化危机 - 代号维罗妮卡
Soul Fighter (USA),魂战士
Official Sega Dreamcast Magazine Vol. 3 - January 2000 (USA),
Official Sega Dreamcast Magazine Vol. 4 - March 2000 (USA),
Official Sega Dreamcast Magazine Vol. 10 - January 2001 (USA),
Official Sega Dreamcast Magazine Vol. 6 - July 2000 (USA),
Official Sega Dreamcast Magazine Vol. 8 - November 2000 (USA),
Official Sega Dreamcast Magazine Vol. 7 - September 2000 (USA),
Dino Crisis (Germany),恐龙危机
"Sega Extreme Sports (Europe) (En,Fr,De,Es)",世嘉极限运动会
"Red Dog - Superior Firepower (Europe) (En,Fr,De,Es)",红狗 - 超级火力
Record of Lodoss War (Germany),罗德岛战记
Puyo Puyoon (Japan),噗哟噗哟
Space Channel 5 (Japan),太空频道 5
Space Channel 5 Part 2 (Japan),太空频道 5 第二部
Sega Rally 2 (Europe) (Rev 1),世嘉拉力 - 进化 2
"Rez (Japan) (En,Ja,Fr,De,Es,It)",解禁
Samba de Amigo (Japan),欢乐森巴
Maken X (Japan),魔剑 X
Eternal Arcadia (Japan) (Disc 1),永恒的阿卡迪亚
Eternal Arcadia (Japan) (Disc 2),永恒的阿卡迪亚
NFL Blitz 2000 (Europe),橄榄球闪电战 2000
Tokyo Xtreme Racer 2 (USA),首都高赛车 2
"Ecco the Dolphin - Defender of the Future (USA) (En,Fr,De,Es)",海豚 - 未来捍卫者
Street Fighter III - Double Impact (USA),街头霸王 3 - 双重冲击
Street Fighter III - 3rd Strike (USA),街头霸王 3 - 第三次冲击
Roadsters (USA),敞篷跑车大赛
Armada (USA),雷霆舰队
Walt Disney World Quest - Magical Racing Tour (USA),迪士尼主题公园赛车
Sega Smash Pack - Volume 1 (USA),世嘉经典合集 - 卷 1
Q-bert (USA),立体跳方块
NFL 2K (USA),美国橄榄球联盟 2K
Legacy of Kain - Soul Reaver (USA),凯恩的遗物 - 勾魂使者
Ready 2 Rumble Boxing (USA),爆笑拳击
Championship Surfer (USA),冲浪冠军
Cannon Spike (USA),炮弹格斗
NHL 2K2 (USA),北美职业冰球联赛 2K2
World Series Baseball 2K2 (USA),世界棒球大赛 2K2
Sydney 2000 (USA),悉尼 2000
Wetrix+ (USA),水滴对对碰 +
Record of Lodoss War (USA),罗德岛战记
"Omikron - The Nomad Soul (USA) (En,Fr,De,Es,It)",恶灵都市
Street Fighter Alpha 3 (USA),少年街霸 3
Silent Scope (USA),沉默的狙击手
StarLancer (USA),星际枪骑兵
"Urban Chaos (USA) (En,Fr)",混乱都市
Skies of Arcadia (USA) (Disc 1),永恒的阿卡迪亚
Skies of Arcadia (USA) (Disc 2),永恒的阿卡迪亚
Rippin' Riders (USA),终极滑雪运动
Dynamite Cop! (USA),快打刑事
ECW Anarchy Rulz (USA),ECW混沌摔角
"Blue Stinger (Germany) (En,De)",苍蓝刺针
"Ready 2 Rumble Boxing (Europe) (En,Fr,De)",爆笑拳击
"Dreamkey 3.0 (Europe) (En,Fr,De,It)",
Web Browser 2.0 with SegaNet (USA),
Internet Browser V3.0 for Dreamcast (USA),
Tee Off (USA),高尔夫大进击
NHL 2K (USA),加拿大冰球联赛 2K
Prince of Persia - Arabian Nights (USA),波斯王子 - 阿拉伯之夜
"Worms Armageddon (USA) (En,Fr,De,Nl,Sv,No,Da)",百战天虫 - 末日浩劫
"Worms World Party (USA) (En,Fr,De,Es,It,Nl,Sv,Da)",百战天虫 - 世界派对
Spawn - In the Demon's Hand (USA),再生侠 - 恶魔之手
Time Stalkers (USA),光明与黑暗
Fatal Fury - Mark of the Wolves (USA),饿狼传说 - 狼之印记
Namco Museum (USA),南梦宫博物馆
Midway's Greatest Arcade Hits - Volume 1 (USA),Midway经典街机游戏合集 - 卷1
Disney's 102 Dalmatians - Puppies to the Rescue (USA),迪斯尼 102斑点狗 - 小狗救援
AeroWings (USA),蓝天勇者
Ms. Pac-Man Maze Madness (USA),吃豆人小姐
NBA Showtime - NBA on NBC (USA),美国职业篮球联赛个人秀 - NBC电视台
Mars Matrix (USA),火星矩阵
Crazy Taxi (USA),疯狂出租车
Crazy Taxi 2 (USA),疯狂出租车 2
"Toy Commander (USA) (En,Fr,De,Es)",玩具总动员
Tony Hawk's Pro Skater (USA),托尼霍克职业滑板
"Virtua Athlete 2000 (USA) (En,Fr,De,Es)",VR运动会 2000
Shadow Man (USA),影子武士
ECW Hardcore Revolution (USA),全美职业摔跤
Psychic Force 2012 (USA),超能力格斗 2012
NFL 2K2 (USA),美国橄榄球联盟 2K2
"Last Blade 2, The - Heart of the Samurai (USA)",月华之剑士 2
"King of Fighters, The - Evolution (USA) (En,Ja,Es,Pt)",拳皇 - 进化
"King of Fighters, The - Dream Match 1999 (USA) (En,Ja,Es,Pt)",拳皇 - 梦幻对决 1999
D2 (USA) (Disc 1),D之食卓 2
D2 (USA) (Disc 2),D之食卓 2
D2 (USA) (Disc 3),D之食卓 2
D2 (USA) (Disc 4),D之食卓 2
Seaman (USA),人面鱼
"House of the Dead 2, The (USA)",死亡之屋 2
Hydro Thunder (USA),雷霆快艇
Who Wants to Beat Up a Millionaire (USA),谁想成为百万富翁
Virtua Fighter 3tb (USA),VR战士 3tb
"Jeremy McGrath Supercross 2000 (Europe) (En,Fr,De)",杰里米麦格拉思超级越野摩托赛 2000
Caesars Palace 2000 - Millennium Gold Edition (USA),凯撒的宫殿 - 千年的黄金
Re-Volt (USA),遥控小赛车
NBA 2K (USA),美国职业篮球联赛 2K
Speed Devils (USA),狂飙魔鬼
"Silver (France) (Fr,It,Pt)",银色骑士
MTV Sports - Skateboarding featuring Andy Macdonald (Europe),MTV体育频道 - 滑板高手
"Disney's Dinosaur (Europe) (En,Fr,De,Es,It)",迪士尼的恐龙
Ultimate Fighting Championship (Europe),终极格斗冠军赛
18 Wheeler - American Pro Trucker (USA),18轮大卡车 - 美国职业卡车司机
Dead or Alive 2 (USA),生或死 2
Marvel vs. Capcom - Clash of Super Heroes (USA),漫威英雄VS卡普空 - 超级英雄的碰撞
Power Stone 2 (Japan),能量宝石 2
Bakuretsu Muteki Bangaioh (Japan),爆裂无敌
