Name EN,Name CN
"Spyro - Enter the Dragonfly (Europe) (En,Fr,De,Es,It,Nl)",百变小飞龙
"Lord of the Rings, The - The Two Towers (USA)",指环王二部曲 - 双塔
Spyro - Enter the Dragonfly (USA),百变小飞龙
Game Boy Player Start-Up Disc (USA) (Rev 2),
"Hobbit, The - The Prelude to the Lord of the Rings (USA)",霍比特人 - 指环王前传
"007 - Nightfire (Europe) (En,It,Nl,Sv)",007 - 夜火
Kelly Slater's Pro Surfer (Europe),凯利史雷特职业冲浪
Viewtiful Joe (Europe) (Promo),红侠乔伊
"Lord of the Rings, The - The Third Age (USA) (Disc 1)",指环王 - 第三纪元
"Lord of the Rings, The - The Third Age (USA) (Disc 2)",指环王 - 第三纪元
007 - Everything or Nothing (USA),007 - 谁与争锋
Metal Gear Solid - The Twin Snakes (USA) (Disc 1),合金装备 - 孪蛇
Metal Gear Solid - The Twin Snakes (USA) (Disc 2),合金装备 - 孪蛇
Resident Evil Zero (USA) (Disc 1),生化危机0
Resident Evil Zero (USA) (Disc 2),生化危机0
FIFA Football 2003 (Europe),FIFA足球2003
Star Wars - Rogue Squadron II - Rogue Leader (Europe),星球大战 - 侠盗中队2 - 流氓领袖
"Enter the Matrix (Europe) (En,Fr,De,Es,It) (Disc 1)",黑客帝国 - 进入矩阵
"Enter the Matrix (Europe) (En,Fr,De,Es,It) (Disc 2)",黑客帝国 - 进入矩阵
"Eternal Darkness - Sanity's Requiem (Europe) (En,Fr,De,Es,It)",永恒的黑暗 - 理智的安魂曲
"Game Boy Player Start-Up Disc (Europe) (En,Fr,De,Es,It) (Rev 1)",
Resident Evil - Code - Veronica X (USA) (Disc 2),生化危机 - 代号维罗妮卡
Resident Evil - Code - Veronica X (USA) (Disc 1),生化危机 - 代号维罗妮卡
Resident Evil 2 (USA),生化危机2
Resident Evil 3 - Nemesis (USA),生化危机3 - 复仇女神
"Super Smash Bros. Melee (USA) (En,Ja) (Rev 1)",任天堂明星大乱斗DX
Pikmin (USA) (Rev 1),皮克敏
Billy Hatcher and the Giant Egg (USA),光与蛋 - 比利哈恰的大冒险
Donkey Konga (USA),森喜刚康茄鼓
Medal of Honor - Soleil Levant (France) (Disc 1),荣誉勋章 - 昇阳
Medal of Honor - Soleil Levant (France) (Disc 2),荣誉勋章 - 昇阳
Robotech - Battlecry (USA),机甲超时空
Mario Kart - Double Dash!! (USA),马力欧卡丁车 - 双重冲击
Mario Kart - Double Dash!! (USA) (Bonus Disc),马力欧卡丁车 - 双重冲击
"Prince of Persia - Warrior Within (USA) (En,Fr,Es)",波斯王子 - 武者之心
FIFA Football 2003 (Germany),FIFA足球2003
Turok - Evolution (Germany),恐龙猎人 - 进化
"Resident Evil Zero (Europe) (En,Fr,De,Es,It) (Disc 1)",生化危机0
"Resident Evil Zero (Europe) (En,Fr,De,Es,It) (Disc 2)",生化危机0
"Lord of the Rings, The - The Two Towers (Europe) (En,Nl)",指环王二部曲 - 双塔
FIFA Football 2004 (Europe),FIFA足球2004
2 Games in 1 - Nickelodeon SpongeBob Schwammkopf - Der Film + Nickelodeon SpongeBob Schwammkopf - Schlacht um Bikini Bottom (Germany) (Disc 1),2合1 - 海绵宝宝大电影 + 比基尼底部的战斗
2 Games in 1 - Nickelodeon SpongeBob Schwammkopf - Der Film + Nickelodeon SpongeBob Schwammkopf - Schlacht um Bikini Bottom (Germany) (Disc 2),2合1 - 海绵宝宝大电影 + 比基尼底部的战斗
2 Games in 1 - Nickelodeon SpongeBob Schwammkopf - Der Film + Nickelodeon Tak 2 - Der Stab der Traeume (Germany) (Disc 1),2合1 - 海绵宝宝大电影 + 罗顿梦想之杖
2 Games in 1 - Nickelodeon SpongeBob Schwammkopf - Der Film + Nickelodeon Tak 2 - Der Stab der Traeume (Germany) (Disc 2),2合1 - 海绵宝宝大电影 + 罗顿梦想之杖
2 Games in 1 - Disney-Pixar Die Unglaublichen + Disney-Pixar Findet Nemo (Germany) (Disc 1),2合1 - 超人总动员 + 海底总动员
2 Games in 1 - Disney-Pixar Die Unglaublichen + Disney-Pixar Findet Nemo (Germany) (Disc 2),2合1 - 超人总动员 + 海底总动员
Buffy im Bann der Daemonen - Chaos Bleeds (Germany),吸血鬼猎人巴菲 - 混乱之血
"ATV - Quad Power Racing 2 (Europe) (En,Fr,De,Es,It)",沙地摩托车热力赛2
"Bad Boys II (Europe) (En,Fr,De,Es,It)",绝地战警 - 迈阿密行动
"Bomberman Generation (Europe) (En,Fr,De)",炸弹人 - 世纪大作战
Bratz - Rock Angelz (Germany),贝兹娃娃 - 摇滚天使
"Batman - Rise of Sin Tzu (Europe) (En,Fr,De,Es,It)",蝙蝠侠 - 辛特组的复活
"Butt-Ugly Martians - Zoom or Doom! (Europe) (En,Fr,De,Es,It)",丑陋的火星人 - 放大或毁灭
Call of Duty - Finest Hour (Germany),使命召唤 - 尖峰时刻
"Carmen Sandiego - The Secret of the Stolen Drums (Europe) (De,Es)",神偷卡门 - 失窃的鼓的秘密
"Casper - Spirit Dimensions (Europe) (En,Fr,De,Es,It)",鬼马小精灵
"Disney Sports - Skateboarding (Europe) (En,Fr,De,Es,It)",迪士尼滑板
"Evolution Skateboarding (Europe) (En,Fr,De)",职业花式滑板
"Evolution Snowboarding (Europe) (En,Fr,De)",职业花式滑雪
"Largo Winch - Empire Under Threat (Europe) (En,Fr,De,Es,It)",神鬼猎杀
Need for Speed - Underground (Germany),极品飞车 - 地下狂飙
"Speed Challenge - Jacques Villeneuve's Racing Vision (Europe) (En,Fr)",极速挑战 - 维伦纽夫的赛车生涯
"Worms Blast (Europe) (En,Fr,De,Es,It)",百战天虫 - 爆发
"Cocoto Platform Jumper (Europe) (En,Fr,De,Es,It)",小魔怪大冒险
"Tierisch verrueckte Bauernhof, Der (Germany)",疯狂农场
"Disney's Extreme Skate Adventure (Europe) (Fr,De)",迪士尼极限滑板冒险
"Die Hard - Vendetta (Germany) (En,De)",虎胆龙威 - 深仇大恨
"Disney-Pixar The Incredibles - Rise of the Underminer (Europe) (Fr,De)",迪斯尼皮克斯 - 超人总动员 - 地心恶魔复活
Fantastic 4 (Germany),神奇四侠
2002 FIFA World Cup (Germany),2002年FIFA世界杯
Disney-Pixar Findet Nemo (Germany),海底总动员
"Gun (Germany) (En,De)",荒野枪神
Nickelodeon SpongeBob Schwammkopf - Der Film (Germany),海绵宝宝大电影
007 - Agent im Kreuzfeuer (Germany),007 - 浴火特工
007 - Alles oder Nichts (Germany),007 - 谁与争锋
007 - Nightfire (Germany),007 - 夜火
"18 Wheeler - American Pro Trucker (Europe) (En,Fr,De,Es)",18轮大卡车 - 美国职业卡车司机
"XGRA - Extreme G Racing Association (Europe) (En,Fr,De,Es,It)",极限摩托RA
"TimeSplitters 2 (Europe) (En,Fr,De,Es,It)",时空分裂者2
"TY the Tasmanian Tiger 2 - Bush Rescue (Europe) (En,Fr,De)",泰思虎奇幻冒险 - 2布什救援
"Spawn - Armageddon (Europe) (En,Fr,De,Es,It)",再生侠 - 末日之战
Nick SpongeBob Schwammkopf - Die Kreatur aus der Krossen Krabbe (Germany),海棉宝宝 - 来自蟹黄堡的生物
Nickelodeon SpongeBob SquarePants - Battle for Bikini Bottom (Europe),海绵宝宝比基尼底部的战斗
SeaWorld Adventure Parks - Shamu's Deep Sea Adventures (Europe),海洋冒险乐园 - 莎姆的深海冒险
Mystic Heroes (Germany),战斗封神
"Men in Black II - Alien Escape (Europe) (En,Fr,De,Es,It)",黑衣人2 - 外星人逃亡
Doubutsu no Mori e+ (Japan) (Rev 1),动物森友会e+
Tak and the Power of Juju (USA),塔克和符咒的神力
Tiger Woods PGA Tour 2003 (USA),泰格伍兹高尔夫球巡回赛2003
Bratz - Rock Angelz (Europe),贝兹娃娃 - 摇滚天使
Street Hoops (USA),街头灌篮秀
Tony Hawk's Pro Skater 3 (USA),托尼·霍克职业滑板3
"Charlie's Angels (Europe) (En,Fr,De)",霹雳娇娃
"DreamWorks & Aardman Flushed Away (Europe) (En,Fr,De,Es,It)",鼠国流浪记
Lemony Snicket - Raetselhafte Ereignisse (Germany),雷蒙斯尼奇的不幸历险
Marvel Nemesis - Rise of the Imperfects (Germany),漫威英雄 - 复仇女神
NFL 2K3 (Europe),NFL橄榄球2K3
NHL 2K3 (Europe),NHL冰球2K3
"Terminator 3 - The Redemption (Europe) (En,Fr,De,Es,It)",未来战士3救赎
"Whirl Tour (Europe) (En,Fr,De,Es,It)",街头绵羊王赛车
"Yu-Gi-Oh! The Falsebound Kingdom (Europe) (En,Fr,De,Es,It)",游戏王 - 虚构的封闭王国
"Zapper (Europe) (En,Fr,De,Es,It,Nl) (Rev 1)",蚱蜢闹翻天
WWE Day of Reckoning (Europe),美国职业摔角审判日1
WWE Day of Reckoning 2 (Europe) (Rev 1),美国职业摔角审判日2
WWE WrestleMania X8 (Europe),美国职业摔角狂热18
"WWE WrestleMania XIX (Europe, Australia)",美国职业摔角狂热19
WWE Crush Hour (Europe),美国职业摔角
Harvest Moon - A Wonderful Life (Germany),牧场物语 - 美丽人生（男孩版）
Hulk (Germany),绿巨人浩克
Hitman 2 - Silent Assassin (Germany),杀手2 - 沉默刺客
"Kelly Slater's Pro Surfer (Europe) (En,Fr,De)",凯利史雷特职业冲浪
Hudson Selection Vol. 3 - PC Genjin - Pithecanthropus Computerurus (Japan),Hudson精选集3 - PC原人
"ZooCube (Europe) (En,Fr,De,Es,It)",立体旋转方块
