Name EN,Name CN
"Sugoroku, The '92 - Nari Tore - Nariagari Trendy (Japan)",快速锻炼 92
Exile - Toki no Hasama e (Japan),流放 - 时之狭间
Fighting Street (Japan) (Rev 5),快打旋风
Black Hole Assault (Japan),黑洞救援
J.League Tremendous Soccer '94 (Japan),J联盟足球 '94
Akumajou Dracula X - Chi no Rondo (Japan),恶魔城 X - 血之轮回
Sotsugyou Shashin - Miki (Japan),卒业写真
Eikan wa Kimi ni - Koukou Yakyuu Zenkoku Taikai (Japan),光荣归于你 - 高中棒球全国大会
Ginga Ojousama Densetsu Yuna (Japan) (FAFT),银河大小姐传说
Ginga Ojousama Densetsu Yuna HuVIDEO CD (Japan),银河大小姐传说 HuVIDEO CD
Gyuwambler Jiko Chuushinha - Gekitou 36 Janshi (Japan) (Alt),自我中心派麻将 - 激斗36雀士
Ys III (Japan),伊苏 3
Monster Maker - Yami no Ryuukishi (Japan),怪兽制造厂 - 闇之龙骑士
Shadow of the Beast - Mashou no Okite (Japan),暗影野兽 - 魔性的绽放
Hyper Wars (Japan) (SAAS),世纪战争
Dragon Slayer - The Legend of Heroes (USA),英雄传说
"Ryuuko no Ken (Japan) (En,Ja,Es) (FABT)",龙虎之拳
Space Adventure Cobra II - Densetsu no Otoko (Japan),哥普拉 - 传说之男
"Garou Densetsu 2 - Aratanaru Tatakai (Japan) (FABT, FACT, FAET, FAFT)",饿狼传说 2 - 新的挑战者
Ranma 1-2 (Japan),乱马1/2
Ranma 1-2 - Toraware no Hanayome (Japan),乱马1/2 - 被囚禁的新娘
Aurora Quest - Otaku no Seiza in Another World (Japan),极光任务 - 遥远的星座
"Ginga Ojousama Densetsu Yuna (Japan) (FAAT, FABT, FACT)",银河大小姐传说
Dungeon Explorer II (USA),地牢探索 2
Ys III - Wanderers from Ys (USA),伊苏 3 - 来自伊苏的漂泊者
Dungeon Explorer II (Japan),地牢探索 2
World Heroes 2 (Japan),世界英雄 2
Double Dragon II - The Revenge (Japan),双截龙 2 - 复仇
Pomping World (Japan),魔鬼气泡
Buster Bros. (USA),泡泡兄弟
Fantastic Night Dreams - Cotton (USA),棉花小魔女
Gate of Thunder + Bonk's Adventure + Bonk's Revenge (USA),雷霆之门 + PC原人大冒险 + PC原人 2
Ys Book I & II (USA),伊苏 1 + 2
High Grenadier (Japan),高抛弹兵
Super Albatross (Japan),超级信天翁
Doukyuusei (Japan) (Rev 3),同级生
Vasteel (Japan),瓦钢
Emerald Dragon (Japan) (Rev 1),翡翠龙
Emerald Dragon (Japan),翡翠龙
"Ai Chou Aniki (Japan) (SADS, SAES)",爱·超兄贵
Last Armageddon (Japan) (Rev 6),女超人蕾拉
Ane-san (Japan),姐
Bomberman - Panic Bomber (Japan) (FAAT),炸弹人方块
Bomberman - Panic Bomber (Japan) (FABT),炸弹人方块
Browning (Japan),布朗宁
Daisenryaku II - Campaign Version (Japan),大战略 2
Winds of Thunder (Japan),神风战机
Zero 4 Champ II (Japan),房车大赛 2
Cardangels (Japan),卡牌天使
Seirei Senshi Spriggan (Japan),精灵战士
Super Darius (Japan),超级大流士
Super Darius (Japan) (Alt),超级大流士
Mitsubachi Gakuen (Japan),三叶学园
Ginga Ojousama Densetsu Yuna 2 - Eien no Princess (Japan) (FABT),银河大小姐传说 2 - 永恒的守护公主
Efera & Jiliora - The Emblem from Darkness (Japan),暗黑战记
NEXZR (Japan),雷泽战机
ImageFight II - Operation Deepstriker (Japan),梦幻战机 2
Hatsukoi Monogatari (Japan) (Rev 2),初恋物语
Sangokushi III (Japan),三国志 3
Sol Bianca (Japan),太阳之船
Kagami no Kuni no Legend (Japan),镜之国的传说
Shanghai II (Japan),上海 2
Jack Nicklaus' World Tour Golf - 162 Holes (Japan),杰克尼可拉斯高尔夫世界巡回赛
Inoue Mami - Kono Hoshi ni Tatta Hitori no Kimi (Japan),井上麻美 - 这颗星球上唯一的你
Burai - Yatsudama no Yuushi Densetsu (Japan),Burai - 八玉勇士伝说
Burai II - Yami Koutei no Gyakushuu (Japan),Burai2 - 闇皇帝的逆袭
Rising Sun (Japan),太阳升起
Dungeon Master - Theron's Quest (Japan),地牢大师 - 塞隆之旅
Quiz Tonosama no Yabou (Japan),信长之野望问答
Quiz Caravan Cult Q (Japan),商业文化问答
Ultra Box 6-gou (Japan),究极盒子6号
Record of Lodoss War (Japan),罗德岛战记
Far East of Eden - Tengai Makyou II - Manji Maru (Japan),天外魔境 2 - 万字丸
Garou Densetsu Special (Japan) (FABT),饿狼传说 特别版
Shin Nihon Pro Wrestling - '94 Battlefield in Tokyo Dome (Japan),新日本摔跤 - 94战斗场东京巨蛋
Taiheiki (Japan),太平记
Lord of Wars (Japan),军火之王
Vasteel 2 (Japan),瓦钢 2
Kaizou Choujin Shubibinman 3 - Ikai no Princess (Japan),改造超人 3 - 异界的公主
"Kick Boxing, The (Japan)",拳击
Mashou Denki - La Valeur (Japan),魔晶伝记
Genocide (Japan),大屠杀
Neo Nectaris (Japan),太空模拟战
Splash Lake - Ostrich Daibouken (Japan),飞溅湖 - 奥地利大冒险
Bonanza Bros. (Japan),神偷拍档
Record of Lodoss War II (Japan),罗德岛战记 2
Record of Lodoss War II (Japan) (Demo),罗德岛战记 2
Faceball (Japan),脸球
Faceball (Japan) (Demo),脸球
Motteke Tamago (Japan),蛋蛋乐
CD Denjin - Rockabilly Tengoku (Japan),CD电人 - 乡村摇滚乐天国
"Ranma 1-2 - Datou, Ganso Musabetsu Kakutou-ryuu! (Japan)",乱马1/2 - 打倒、元祖无差别格斗流
Mahjong Vanilla Syndrome (Japan),美少女麻将
Juuouki (Japan) (Rev 4),兽王记
Juuouki (Japan) (Rev 5),兽王记
Doukyuusei (Japan) (Rev 3) (Alt 2),同级生
Dennou Tenshi - Digital Ange (Japan),电脑天使
F1 Team Simulation - Project F (Japan),F1车队模拟
Snatcher CD-ROMantic - Pilot Disk (Japan),掠夺者 - Pilot Disk
Snatcher CD-ROMantic (Japan),掠夺者
"Gate of Thunder (Japan) (FACT, FADT)",雷霆之门
Golden Axe (Japan) (Alt),战斧
Moonlight Lady (Japan),无颜之月
Populous - The Promised Lands (Japan),人口众多 - 应许之地
Bikkuriman Daijikai (Japan),神奇大事界
Xak III - The Eternal Recurrence (Japan),XAK3 - 永恒的重现
Sorcerian (Japan),七星魔法使
Chou Jikuu Yousai Macross 2036 (Japan),超时空要塞 2036
Chou Jikuu Yousai Macross - Eien no Love Song (Japan),超时空要塞 - 永恒的爱
"Wizardry I, II (Japan)",巫术 1 + 2
Legend of Xanadu - Kaze no Densetsu Xanadu (Japan),风的传说
Legend of Xanadu - Kaze no Densetsu Xanadu II (Japan),风的传说 2
"Wizardry III, IV (Japan)",巫术 3 + 4
Valis III (Japan),梦幻战士 3
Valis III (Japan) (Alt),梦幻战士 3
CD Battle - Hikari no Yuusha-tachi (Japan),CD战斗 - 光之勇者们
Gradius II - Gofer no Yabou (Japan),宇宙巡航机 2
Star Parodier (Japan),星际帕罗战士
Mugen Senshi Valis - The Legend of a Fantasm Soldier (Japan),梦幻战士
Tenchi Muyou! Ryououki (Japan),天地无用！魉皇鬼
Advanced V.G. (Japan),少女格斗战
Goetzendiener (Japan),偶像崇拜者
Dragon Ball Z - Idainaru Son Gokuu Densetsu (Japan) (FABT),龙珠 Z - 伟大的悟空传说
Ookami-teki Monshou - Crest of Wolf (Japan),狼的纹章
Linda^3 (Japan) (Rev 2),琳达三次方
Far East of Eden - Tengai Makyou - Ziria (Japan) (Hibaihin),天外魔境 - 自来也
Travel Eple (Japan),爱普尔之旅
Blood Gear (Japan),血钢齿轮
Palladion - Auto Crusher Palladium (Japan),圣机帕拉迪昂 - 自动粉碎者​
Star Breaker (Japan),星球破坏者
Megami Paradise (Japan),女神天国
Valis II (Japan) (Alt 2),梦幻战士 2
Minesweeper (Japan),扫雷
Red Alert (Japan),红色警戒
L-Dis (Japan),埃尔迪斯
Puyo Puyo CD (Japan),噗哟噗哟 CD
Puyo Puyo CD Tsuu (Japan),噗哟噗哟 CD 2
"Fantastic Night Dreams - Cotton (Japan) (En,Ja,Zh)",棉花小魔女
Patlabor - Chapter of Griffon (Japan),机动警察
Quest of Jongmaster - Janshin Densetsu (Japan),雀神伝说
Ultra Box 3-gou (Japan),究极盒子3号
Startling Odyssey II - Maryuu Sensou (Japan),惊心动魄的奥德赛 2 - 魔龙战争
Hataraku Shoujo - Tekipaki Working Love (Japan),乐天少女俱乐部
De-Ja (Japan),DE·JA
Yamamura Misa Suspense - Kinsenka Kyouezara Satsujin Jiken (Japan),山村美纱推理游戏 - 金盏花京绘皿杀人事件
Hyaku Monogatari - Honto ni Atta Kowai Hanashi (Japan),百物语 - 真实恐怖故事
Himitsu no Hanazono (Japan),秘密花园
Top o Nerae! GunBuster Vol. 1 (Japan),飞跃巅峰！ GunBuster 1
Pastel Lime (Japan),魔法小天使琳
Ginga Fukei Densetsu Sapphire (Japan) (Reprint),银河妇警传说
Quiz no Hoshi - Star of Quiz (Japan),谜题之星
Quiz de Gakuensai (Japan),学园祭问答
Fushigi no Umi no Nadia - The Secret of Blue Water (Japan),蓝宝石之谜
Magical Saurus Tour (Japan),神奇恐龙之旅
Ultra Box 4-gou (Japan),究极盒子4号
Far East of Eden - Tengai Makyou - Ziria (Japan) (Rev 7),天外魔境 - 自来也
Quiz Marugoto the World (Japan) (Rev 8),Marugoto世界问答
Sotsugyou - Graduation (Japan) (Rev 1),卒业
