EN Name,CN Name
Egger Land - Souzou e no Tabidachi (Japan) (Beta),罗罗大冒险外传 (日版) (Beta)
Electrician (Japan),纽约大地震 (日版)
Emi-chan no Moero Yakyuuken! (Japan) (Unl),燃烧野球拳 (日版) (Unl)
Esper Dream (Japan) [b],世界之梦 (日版) [b]
Esper Dream (Japan) (Rev 1) [b],世界之梦[b] (日版) (Rev 1) [b]
Exciting Baseball (Japan),激烈棒球 (日版)
Exciting Basket (Japan),激烈篮球 (日版)
Exciting Billiard (Japan),激烈台球 (日版)
Exciting Soccer - Konami Cup (Japan),激烈足球 (日版)
Fairy Pinball - Yousei Tachi no Pinball (Japan) (Unl),妖精弹珠台 (日版) (Unl)
Fairy Pinball - Yousei Tachi no Pinball (Japan) (Alt 1) (Unl),妖精弹珠台 (日版) (Alt 1) (Unl)
Fairytale (Japan) [b],童话 (日版) [b]
Falsion (Japan),太空立体战 (日版)
Famicom Grand Prix - F1 Race (Japan),家庭F1赛车 (日版)
Famicom Grand Prix II - 3D Hot Rally (Japan) (DV 7),家庭F1赛车 (日版) (DV 7)
Famicom Grand Prix II - 3D Hot Rally (Japan) (DV 5),家庭F1赛车 (日版) (DV 5)
Famicom Grand Prix II - 3D Hot Rally (Japan) (DV 8) (Disk Writer),家庭F1赛车 (日版) (DV 8) (Disk Writer)
Famicom Mukashibanashi - Shin Onigashima - Kouhen (Japan),新鬼岛 (日版)
Famicom Mukashibanashi - Shin Onigashima - Zenpen (Japan) (DV 1) [b],新鬼岛 (日版) (DV 1) [b]
Famicom Mukashibanashi - Shin Onigashima - Zenpen (Japan) (DV 2) [b],新鬼岛 (日版) (DV 2) [b]
Famicom Mukashibanashi - Yuuyuuki - Kouhen (Japan),新鬼岛 (日版)
Famicom Mukashibanashi - Yuuyuuki - Zenpen (Japan),新鬼岛 (日版)
Famicom Tantei Club - Kieta Koukeisha - Kouhen (Japan),侦探俱乐部 (日版)
Famicom Tantei Club - Kieta Koukeisha - Zenpen (Japan),侦探俱乐部 (日版)
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo - Kouhen (Japan) (DV 3),侦探俱乐部2 (日版) (DV 3)
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo - Zenpen (Japan),侦探俱乐部2 (日版)
Family Composer (Japan),伴奏大师 (日版)
Famimaga Disk Vol. 1 - Hong Kong (Japan),家庭游戏1-香港 (日版)
Famimaga Disk Vol. 2 - Panic Space (Japan) (Disk Writer),家庭游戏2-混乱空间 (日版) (Disk Writer)
Famimaga Disk Vol. 3 - All 1 (Japan) (Disk Writer),家庭游戏3-推骰子 (日版) (Disk Writer)
Famimaga Disk Vol. 4 - Clox (Japan) (Disk Writer),家庭游戏4-时钟方块 (日版) (Disk Writer)
Famimaga Disk Vol. 5 - Puyo Puyo (Japan) (Disk Writer),家庭游戏5-魔法气泡 (日版) (Disk Writer)
Famimaga Disk Vol. 6 - Janken Disk Jou (Japan) (Disk Writer),家庭游戏6-磁片之城 (日版) (Disk Writer)
Final Command - Akai Yousai (Japan),赤色要塞 (日版)
Fire Bam (Japan),巴姆救亲记 (日版)
Fire Rock (Japan),火洛克 (日版)
FMC Disk Card Checker Ver 1.3 (Japan) (Rev 2) (Developer Card),FMC磁碟检测工具 (日版) (Rev 2) (Developer Card)
Fruits Mahjong 1 - Disk 1 - Mahjong Game Hontai (Japan) (Unl),水果麻将少女1 (日版) (Unl)
Fruits Mahjong 1 - Disk 2 - Dai H Taikai (Japan) (Unl),水果麻将少女1 (日版) (Unl)
Fruits Mahjong 2 - Disk 1 - Tokimeki Gals (Japan) (Unl),水果麻将少女2 (日版) (Unl)
Fruits Mahjong 2 - Disk 2 - Yonin to Dai H Taikai (Japan) (Unl),水果麻将少女2 (日版) (Unl)
Fruits Mahjong 3 - Disk 1 - Yonin no Tenshi Tachi (Japan) (Unl),水果麻将少女3 (日版) (Unl)
Fruits Mahjong 3 - Disk 2 - Tottemo H na Gogo (Japan) (Unl),水果麻将少女3 (日版) (Unl)
Fruits Mahjong 4 - Disk 1 - Bishoujo Connection (Japan) (Unl),水果麻将少女4 (日版) (Unl)
Fruits Mahjong 4 - Disk 2 - Daitan H na Hirusagari (Japan) (Unl),水果麻将少女4 (日版) (Unl)
Fuuun Shourin Ken (Japan),风云少林拳 (日版)
Fuuun Shourin Ken - Ankoku no Maou (Japan),风云少林拳-暗黑之魔王 (日版)
Galaga (Japan) (Disk Writer),大蜜蜂 (日版) (Disk Writer)
Galaxian (Japan) (Disk Writer),小蜜蜂 (日版) (Disk Writer)
Gall Force - Eternal Story (Japan),加伦战机 (日版)
Game no Tatsujin - Money Wars (Japan) (Unl),游戏达人-金钱大战 (日版) (Unl)
German Tanteidan MarinGumi - Maruhi Jigomar Sousa File (Japan),加马侦探团-魔鳞组 (日版)
Ginga Denshou - Galaxy Odyssey (Japan),银河传承 (日版)
Gokuraku Yuugi - Game Tengoku (Japan),极乐游戏 (日版)
Golf (Japan) (Rev 1),高尔夫 (日版) (Rev 1)
Golf (Japan),高尔夫 (日版)
Golf - Japan Course (Japan) (DV 2),高尔夫-日本赛道 (日版) (DV 2)
Golf - Japan Course (Japan) (Prize Card),高尔夫-日本赛道 (日版) (Prize Card)
Golf - Japan Course (Japan) (DV 0),高尔夫-日本赛道 (日版) (DV 0)
Golf - Special Course (Japan) (Prize Card),高尔夫-特别赛道 (日版) (Prize Card)
Golf - US Course (Japan) (DV 1) [b],高尔夫-美国赛道 (日版) (DV 1) [b]
Golf - US Course (Japan) (DV 0),高尔夫-美国赛道 (日版) (DV 0)
Golf - US Course (Japan) (DV 2) (Disk Writer),高尔夫-美国赛道 (日版) (DV 2) (Disk Writer)
"Golf, The - Bishoujo Classic (Japan) (Unl)",美少女高尔夫锦标赛 (日版) (Unl)
Goonies (Japan) (Disk Writer),七宝奇谋 (日版) (Disk Writer)
Graphic Editor Hokusai - Ver 1.2 (Japan) (Unl),Graphic Editor Hokusai 工具 V1.2 (日版) (Unl)
Green Beret (Japan),绿色兵团 (日版)
Gun.Smoke (Japan),荒野大镖客 (日版)
Gyruss (Japan),太空射击战 (日版)
Gyruss (Japan) (Beta),太空射击战 (日版) (Beta)
Halley Wars (Japan),哈雷大战 (日版)
Hao-kun no Fushigi na Tabi (Japan),不可思议之旅 (日版)
Hayama Reiko no Date de Blackjack (Japan) (Unl),美女二十一点 (日版) (Unl)
Hikari Shinwa - Palthena no Kagami (Japan) (Rev 1),光之神话 (日版) (Rev 1)
Hikari Shinwa - Palthena no Kagami (Japan) [b],光之神话 (日版) [b]
Hikaru Genji - Roller Panic (Japan),光GENJI冒险 (日版)
I Am a Teacher - Super Mario no Sweater (Japan) [b],手工教学-高级篇 (日版) [b]
I Am a Teacher - Teami no Kiso (Japan),手工教学-基础篇 (日版)
Ice Climber (Japan) (Disk Writer),敲冰块 (日版) (Disk Writer)
Ice Hockey (Japan),冰球 (日版)
Idol Hotline - Nakayama Miho no Tokimeki High School (Japan) (DV 10),中山美穗高校冒险 (日版) (DV 10)
Idol Hotline - Nakayama Miho no Tokimeki High School (Japan) (DV 4) [b],中山美穗高校冒险 (日版) (DV 4) [b]
Idol Hotline - Nakayama Miho no Tokimeki High School (Japan) (DV 6) [b],中山美穗高校冒险 (日版) (DV 6) [b]
Igo - Kyuu Roban Taikyoku (Japan),围棋 (日版)
Ishidou (Japan) (Disk Writer),石道 (日版) (Disk Writer)
Jikai Shounen Met Mag (Japan),磁界少年 (日版)
Jingorou (Japan) (Unl),甚五郎-图形编辑器 (日版) (Unl)
Kaettekita Mario Brothers (Japan) (Disk Writer),水管工马里奥兄弟 (日版) (Disk Writer)
