Name EN,Name CN
"Metal Slug - 1st Mission (World) (En,Ja)",合金弹头 - 一号任务
"Metal Slug - 2nd Mission (World) (En,Ja)",合金弹头 - 二号任务
"Metal Slug - 2nd Mission (World) (En,Ja) (Demo)",合金弹头 - 二号任务
Mezase! Kanji Ou (Japan),目标！汉字王
Mizuki Shigeru no Youkai Shashinkan (Japan),水木茂的妖怪照相馆
Neo 21 - Pocket Casino Series (World),NEO21点
"Neo Baccarat - Pocket Casino Series (Japan, Europe) (En) (v16)",NEO巴克拉牌
"Neo Baccarat - Pocket Casino Series (Japan, Europe) (En) (Beta)",NEO巴克拉牌
"Neo Baccarat - Pocket Casino Series (Japan, Europe) (En) (v11)",NEO巴克拉牌
"Neo Cherry Master Color - Pocket Casino Series (World) (En,Ja)",NEO水果机大师
"Neo Cherry Master Color - Pocket Casino Series (World) (En,Ja) (Demo)",NEO水果机大师
Neo Derby Champ Daiyosou (Japan),NEO德比冠军赛马 - 大预想
"Neo Dragon's Wild - Real Casino Series (World) (En,Ja) (v11)",NEO野龙扑克
"Neo Dragon's Wild - Real Casino Series (World) (En,Ja) (v13)",NEO野龙扑克
"Neo Mystery Bonus - Pocket Casino Series (World) (En,Ja)",NEO神秘奖金
Neo Poke Pro Yakyuu (Japan) (v32),NEO职业棒球
Neo Poke Pro Yakyuu (Japan) (v1F),NEO职业棒球
"Neo Turf Masters (World) (En,Ja)",NEO大联盟高尔夫
"NeoGeo Cup '98 Plus Color - Pocket Sports Series (World) (En,Ja)",NEO世界杯 98
Nige-ron-pa (Japan),尼哥龙帕
Oekaki Puzzle (Japan),绘画拼图
"Pac-Man (World) (En,Ja)",吃豆人
Pachi-Slot Aruze Oukoku - Porcano 2 (Japan),柏青嫂阿尔赛王国 - 波卡诺 2
Pachi-Slot Aruze Oukoku Pocket - Azteca (Japan) (v04),柏青嫂阿尔赛王国 - 阿兹台克
Pachi-Slot Aruze Oukoku Pocket - Azteca (Japan) (v03),柏青嫂阿尔赛王国 - 阿兹台克
Pachi-Slot Aruze Oukoku Pocket - Azteca (Japan) (v06),柏青嫂阿尔赛王国 - 阿兹台克
Pachi-Slot Aruze Oukoku Pocket - Dekahel 2 (Japan),柏青嫂阿尔赛王国 - 德卡黑尔 2
Pachi-Slot Aruze Oukoku Pocket - Delsol 2 (Japan),柏青嫂阿尔赛王国 - 德尔所尔 2
Pachi-Slot Aruze Oukoku Pocket - e-CUP (Japan) (v04),柏青嫂阿尔赛王国 - E杯
