Name EN,Name CN
Pac'n Roll (Japan),滚滚吃豆
SD Gundam G Generation DS (Japan),SD高达G世纪 DS
Rockman EXE 5 DS - Twin Leaders (Japan),洛克人EXE5 DS - 双生领袖
Bokujou Monogatari - Colobockle Station (Japan) (Rev 2),牧场物语-精灵驿站
Survival Kids - Lost in Blue (Japan),生存之子-迷失蔚蓝
"Nintendogs - Labrador & Friends (Europe) (En,Fr,De,Es,It)",任天狗-拉不拉多犬与伙伴
"Meteos (Europe) (En,Fr,De,Es,It)",陨石大战
Mahjong Taikai (Japan),麻雀大会
"Castlevania - Dawn of Sorrow (Europe) (En,Fr,De,Es,It)",恶魔城-苍月的十字架
Pac'n Roll (USA),滚滚吃豆
Tak - The Great Juju Challenge (USA),塔克-丛林大挑战
"FIFA 06 (Europe) (En,Fr,De,Es,It,Nl)",FIFA足球2006
Frogger - Helmet Chaos (USA),青蛙过河
Lost in Blue (USA),生存之子-迷失蔚蓝
"Advance Wars - Dual Strike (Europe) (En,Fr,De,Es,It)",高级战争DS
Trace Memory (USA),双重记忆
Ultimate Spider-Man (USA),终极蜘蛛侠
Lunar - Dragon Song (USA),露娜-龙之歌
Whac-A-Mole (USA),打地鼠
Madden NFL 06 (Europe),北美橄榄球联赛
Atarimix - Happy 10 Games (Japan),雅达利快乐10游戏
GoldenEye - Rogue Agent (Europe),黄金眼-黑帮情报员
"Pokemon Dash (Europe) (En,Fr,De,Es,It)",口袋妖怪-冲刺
FIFA Soccer 06 (USA),FIFA足球2006
Castlevania - Dawn of Sorrow (USA),恶魔城-苍月十字架
Trauma Center - Under the Knife (USA),超执刀
"Nintendogs - Dachshund & Friends (Europe) (En,Fr,De,Es,It)",任天狗：腊肠犬与它的朋友
"Nintendogs - Chihuahua & Friends (Europe) (En,Fr,De,Es,It)",任天狗：吉娃娃与它的朋友
Chou Shittou Caduceus (Japan),超执刀
Yu-Gi-Oh! Duel Monsters - Nightmare Troubadour (Japan),游戏王DS 噩梦吟游诗人
Phoenix Wright - Ace Attorney (USA),逆转裁判
Marvel Nemesis - Rise of the Imperfects (USA),Marvel复仇女神：未完成体
Zoo Tycoon DS (USA),动物园大亨
"Urbz, The - Sims in the City (Europe) (En,Fr,De,Es,It)",模拟人生
Ultimate Spider-Man (France),终极蜘蛛侠
Power Pocket Koushien (Japan),力量职棒甲子园
Madagascar (Europe),马达加斯加
Ping Pals (Europe),聊天伴侣
Ultimate Spider-Man (Europe),终极蜘蛛侠
Super Princess Peach (Japan),超级碧奇公主
Pokemon Torouze (Japan),口袋妖怪方块
"Scooby-Doo! - Unmasked (USA) (En,Fr)",史酷比狗 - 原形毕露
Dig Dug - Digging Strike (USA),钻地小子 - 打气大作战
"Sims 2, The (USA) (En,Fr,De,Es,It)",模拟人生2
Shrek - Super Slam (USA),怪物史瑞克
Metroid Prime Pinball (USA),银河战士弹珠台
Spyro - Shadow Legacy (USA),小龙斯派罗-幻影遗产
Puzzle Bobble DS (Japan),泡泡龙方块DS
Spider-Man 2 (Europe),蜘蛛侠2
"Cocoto - Kart Racer (Europe) (En,Fr,De,Es,It)",小魔怪卡丁车
GoldenEye - Au Service du Mal (France),007黄金眼-黑帮情报员
"Pac'n Roll (Europe) (En,Fr,De,Es,It)",滚滚吃豆
"Spyro - Shadow Legacy (Europe) (En,Fr,De,Es,It,Nl)",小龙斯派罗-幻影遗产
Mega Man Battle Network 5 - Double Team DS (USA),洛克人EXE5-DS双生领袖
"Marvel Nemesis - Rise of the Imperfects (Europe) (En,Fr,De)",漫画英雄复仇：未完成的崛起
Simple DS Series Vol. 3 - The Mushitori Oukoku - Shinshu Hakken! Nokogiri Kabuto! (Japan),简单DS系列vol.3：昆虫王国
"Incredibles, The - Rise of the Underminer (USA)",超人总动员
Nintendogs - Best Friends (USA),任天狗系列：密友版
Daredemo Asobi Taizen (Japan),益智游戏大全
"Spider-Man 2 (Europe) (En,Fr,De,Es,It)",蜘蛛侠2
Teenage Mutant Ninja Turtles 3 - Mutant Nightmare (USA),忍者神龟3
Touch de Rakushou! Pachi-Slot Sengen - Rio de Carnival (Japan),触摸轻松得胜！柏青嫂宣言 RIO的嘉年华
Touch Game Party (Japan),触摸游戏派对
GoldenEye - Dark Agent DS (Japan),黄金眼：黑帮情报员
Star Wars - Episode III - Sith no Fukushuu (Japan),星球大战3 西斯的复仇
"Sims 2, The (Europe) (En,Fr,De,Es,It)",模拟人生2
Viewtiful Joe - Double Trouble! (USA),红侠乔伊-双重麻烦
"Harry Potter and the Goblet of Fire (Europe) (En,Fr,De,Es,It)",哈利波特与火焰杯
Madagascar (Italy),马达加斯加
Viewtiful Joe - Scratch! (Japan),红侠JOE：双重麻烦
Akachan wa Doko kara Kuru no (Japan),为你而生-宝宝从哪里来？
"Mario Kart DS (USA) (En,Fr,De,Es,It)",马里奥赛车DS
Shamu's Deep Sea Adventures (USA),海底世界：Shamu 的深海冒险
SpongeBob SquarePants - The Yellow Avenger (USA),超级海棉巴伯：黄色的复仇者
Texas Hold 'em Poker DS (USA),德克萨斯洲扑克
"Kim Possible - Kimmunicator (USA) (En,Fr)",麻辣女孩
"Chronicles of Narnia, The - The Lion, the Witch and the Wardrobe (USA) (En,Fr,Es,It,Nl)",纳尼亚魔法王国
Tony Hawk's American Sk8land (USA),托尼霍克职业滑板
Need for Speed - Most Wanted (USA),极品飞车：最高通辑
"Tony Hawk's American Sk8land (Europe) (En,Fr,De,Es,It)",托尼霍克职业滑板
"Sonic Rush (USA) (En,Ja,Fr,De,Es,It)",索尼克冲刺
"Harry Potter and the Goblet of Fire (USA) (En,Fr,De,Es,It)",哈利波特与火焰圣杯
"Lost in Blue (Europe) (En,Fr,De,Es,It)",迷失蔚蓝
"Zoo Tycoon DS (Europe) (Fr,De)",动物园大亨
"Shrek - Super Slam (Europe) (En,Fr,De,Es,It,Nl)",史瑞克之超级撞击
"Yu-Gi-Oh! - Nightmare Troubadour (Europe) (En,Fr,De,Es,It)",游戏王-恶梦吟游诗人
"Scooby-Doo! - Unmasked (Europe) (En,Fr,Es,It)",史酷比-杜：原形毕露
"Zoo Tycoon DS (Europe) (En,Fr)",动物园大亨
"Sonic Rush (Europe) (En,Ja,Fr,De,Es,It)",索尼克冲刺
"Gyakuten Saiban - Yomigaeru Gyakuten (Japan) (En,Ja)",逆转裁判-复苏的逆转
Madagascar (Germany),马达加斯加
Ultimate Spider-Man (Germany),终极蜘蛛侠
Tantei Kibukawa Ryousuke Jiken Tan - Kamen Genei Satsujin Jiken (Japan),侦探-癸生川凌介事件薄：蒙面幻影杀人事件
"Sega Casino (USA) (En,Fr,De,Es,It)",世嘉赌场
Ping Pals (Germany),涂鸦聊天室
Pokemon Fushigi no Dungeon - Ao no Kyuujotai (Japan),口袋妖怪之不可思议的迷宫-青色救助队
Oide yo Doubutsu no Mori (Japan),动物之森
Pac-Pix (Japan),一笔吃豆
Simple DS Series Vol. 2 - The Billiard (Japan) (Rev 1),简单DS系列第2弹：台球
"Chronicles of Narnia, The - The Lion, the Witch and the Wardrobe (Europe) (En,De,Sv,Da)",纳尼亚魔法王国
Dragon Ball Z - Supersonic Warriors 2 (USA),龙珠Z：舞空斗剧2
"Peter Jackson's King Kong - The Official Game of the Movie (USA) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",金刚
Kenshuui Tendo Dokuta 2 - Inochi no Tenbin (Japan),研修医天堂独太2 命运的天秤
Bubble Bobble DS (Japan),泡泡龙DS
"Mario Kart DS (Europe) (En,Fr,De,Es,It)",马里奥赛车DS
"Kirby - Power Paintbrush (Europe) (En,Fr,De,Es,It)",触摸卡比
"Nintendo Touch Golf - Birdie Challenge (Europe) (En,Ja,Fr,De,Es,It)",任天堂触摸高乐夫-博蒂挑战赛
"SpongeBob SquarePants - The Yellow Avenger (Europe) (En,Fr,De,Es,It,Nl)",海棉方块历险记之黄色的复仇者
SBK - Snowboard Kids (USA),SBK滑雪小子
Snood 2 - On Vacation (USA),怪投射波假期
Simple DS Series Vol. 6 - The Party Game (Japan),简单DS系列第6弹：派对游戏集
"Need for Speed - Most Wanted (Europe) (En,Fr,De,Es,It)",极品飞车-最高通缉
"Incredibles, The - Rise of the Underminer (Europe) (En,Fr,De,Es,It)",超人特攻队2
Super Monkey Ball DS (Japan),超级猴子球DS
Real Time Conflict - Shogun Empires (USA),实时冲突：幕府帝国
ATV Quad Frenzy (USA),山地越野车：极度疯狂
Monster Trucks DS (USA),怪物四驱赛车DS
Golden Nugget Casino DS (USA),职业赌场DS
Ford Racing 3 (USA),福特赛车3
Mario & Luigi - Partners in Time (USA),马里奥和路易-时空伙伴
Simple DS Series Vol. 1 - The Mahjong (Japan),简单DS系列第1弹：麻将
"Bubble Bobble Revolution (Europe) (En,Fr,De,Es,It)",泡泡龙革命
Slime Morimori Dragon Quest 2 - Daisensha to Shippo Dan (Japan),史莱姆大冒险-冲击尾巴团2
Soreike! Anpanman - Baikinman no Daisakusen (Japan),面包超人
"Burnout Legends (USA) (En,Fr,Es)",火爆狂飚
Power Pro Kun Pocket 8 (Japan),口袋力量职棒8
Welcome to Animal Crossing - Wild World (USA),动物之森
Elf Bowling 1 & 2 (USA),圣诞保龄球1+2
"Battles of Prince of Persia (Europe) (En,Fr,De,Es,It,Nl)",波斯王子的战争
"Burnout Legends (Europe) (En,Fr,De,Es,It,Nl)",火爆狂飙-传奇
Londonian Gothics - Meikyuu no Lolita (Japan),迷宫的罗利塔
Mario Kart DS (Japan),马里奥赛车DS
"Big Mutha Truckers (Europe) (En,Fr,De,Es,It)",重金属卡车司机
Bokujou Monogatari - Colobockle Station for Girl (Japan),牧场物语-女生版
"Tootuff - Mission Nadia (Europe) (En,Fr,De,Es,It)",搞怪小子之娜蒂亚任务
"Teenage Mutant Ninja Turtles 3 - Mutant Nightmare (Europe) (En,Fr,De,Es,It)",忍者神龟3
"Battles of Prince of Persia (USA) (En,Fr,De,Es,It,Nl)",波斯王子的战争
Bust-A-Move DS (USA),泡泡龙DS
Zoids Saga DS - Legend of Arcadia (Japan),索斯机械兽
"Ford Racing 3 (Europe) (En,Fr,De,Es,It)",福特赛车3
"Snood 2 - On Vacation (Europe) (En,Fr,De,Es,It)",怪物射投2
4 Game Fun Pack - Monopoly + Boggle + Yahtzee + Battleship (USA),4合1：大富翁，拼字母，骰子，战舰
Tao - Mamono no Tou to Mahou no Tamago (Japan),TAO 魔法之塔与魔法之卵
Pac-Man World 3 (USA),吃豆人世界3
Shanghai (Japan),上海
"Franklin's Great Adventures (Europe) (En,Fr,De,Es,It,Nl,Pt,Da)",富兰克林之伟大冒险
Bouken-ou Beet - Vandel vs. Busters (Japan),冒险王比特DS
Shichida Shiki Training - Unou Tanren Unotan DS - Shun Kan Shoubu! Shuuchuuryoku (Japan),右脑锻炼DS
Kidou Gekidan Haro Ichiza - Gundam Mahjong DS - Oyaji ni mo Agarareta Koto nai no ni! (Japan),高达麻将DS
Dragon Ball Z - Bukuu Ressen (Japan),龙珠Z舞空烈战
Harobots Action!! (Japan),哈罗机器人行动
New Rainbow Islands (Japan),新彩虹岛
Urusei Yatsura - Endless Summer (Japan),福星小子:无尽之夏
Wizardry Asterisk - Hiiro no Fuuin (Japan),巫术之星:绯色之封印
Tohoku Daigaku Mirai Kagaku Gijutsu Kyoudou Kenkyuu Center - Kawashima Ryuuta Kyouju Kanshuu - Motto Nou o Kitaeru Otona no DS Training (Japan),川岛隆太教授脑力锻炼2
Mario & Luigi RPG 2x2 (Japan),马里奥与路易RPG2
Super Black Bass - Dynamic Shot (Japan),超级黑巴斯
Kyouryuu Taisen Dino Champ - Saikyou DNA Hakkutsu Daisakusen (Japan),恐龙对战-最强DNA发掘大作战
Kyouryuu Ouja Ketteisen - Kyouryuu Grand Prix (Japan),恐龙王者决定战
Kouchuu Kakutou - Mushi-1 Grand-Prix (Japan),甲虫格斗-昆虫1 豪华赏金
Simple DS Series Vol. 4 - The Block Kuzushi (Japan),简单DS系列 VOL.4 打砖块
Shichida Shiki Training - Unou Tanren Unotan DS - Shun Kan Shoubu! Handanryoku (Japan),七田氏右脑训练DS 瞬间决胜！判断力！
Lucky Star - Moe Drill (Japan),幸运星 LOLI育成
Shichida Shiki Training - Unou Tanren Unotan DS - Shun Kan Shoubu! Kiokuryoku (Japan),实战柏青嫂必胜法！北斗神拳
Jissen Pachi-Slot Hisshouhou! DS - Hokuto no Ken (Japan),七田氏右脑训练-瞬间决胜-记忆力
Electroplankton (USA),电子浮游生物
"Sonic Rush (Japan) (En,Ja,Fr,De,Es,It)",索尼克冲刺
Tamagotch no Puchi Puchi Omisetchi (Japan),电子鸡的小商店
"Sega Casino (Europe) (En,Fr,De,Es,It)",世嘉赌场
Futari wa PreCure Max Heart - Danzen! DS de PreCure - Chikara o Awasete Dai-battle!! (Japan),美丽祭祀二人组-满心-合力大作战
Manga-ka Debut Monogatari DS - Akogare! Manga-ka Ikusei Game (Japan),漫画家出道物语DS
"Urbz, The - Sims in the City (Japan)",模拟市民-上流社会
Dragon Booster (USA),圣龙尊者
Nicktoons Unite! (USA),海绵方块历险记
Devilish (Europe),恶魔弹珠台
Dig Dug - Digging Strike (Japan),打气叮当
Tottoko Hamutaro - Nazo Nazo Q - Kumo no Ue no Hatena Jou (Japan),哈姆太朗DS
Onegai My Melody - Yume no Kuni no Daibouken (Japan),拜托了-我的旋律
LostMagic (Japan),失落的魔法
Biohazard - Deadly Silence (Japan),生化危机DS 死寂
Appare! Shougi Jiisan - Washi to Shoubu ja (Japan),王将!将棋先生!和我决斗吧
Kouchuu Ouja Mushi King - Greatest Champion e no Michi DS (Japan),甲虫王者-战斗之道DS
Otona no DS Golf (Japan),大人的高尔夫DS
Spider-Man 2 (Japan),蜘蛛侠二代
Yakitate!! Japan - Game Ichigou - Choujou Kessen!! Pantasic Grand Prix! (Japan),日式面包王
Zettai Zetsumei Dangerous Jiisan DS - Dangerous Sensation (Japan),绝体绝命天才爷爷DS
Iron Feather (Japan),钢之羽
Billiard Action (Europe),花式撞球出击
Snowboard Kids Party (Japan),滑雪小子DS
Puyo Puyo Fever Two! (Japan),噗哟噗哟热斗二代
Metroid Prime Pinball (Japan),活力弹珠台
"Peter Jackson's King Kong - The Official Game of the Movie (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi) (Rev 1)",金刚
Mawashite Koron (Japan),Mawashite Koron
Table Game Spirits (Japan),桌面游戏之魂
Tiger Woods PGA Tour (Japan),泰戈伍兹高尔夫PGA巡回赛
Bleach DS - Souten ni Kakeru Unmei (Japan),死神DS 驰骋苍天的命运
Eigo ga Nigate na Otona no DS Training - Eigo Zuke (Japan),成人英语训练DS 英语学习
"True Swing Golf (USA) (En,Ja,Fr,De,Es,It)",真实挥杆高尔夫
Danshaku (Japan),弹爵
Greg Hastings' Tournament Paintball Max'd (USA),格雷格'黑斯廷斯的彩弹巡回赛
"Mario & Luigi - Partners in Time (Europe) (En,Fr,De,Es,It)",马里奥和路易-时空伙伴
"Chronicles of Narnia, The - The Lion, the Witch and the Wardrobe (Europe) (En,Fr,Es,It,Nl)",纳尼亚传奇
Croket! DS - Tenkuu no Yuusha-tachi (Japan),可乐小子DS 天空的勇者们
Hippatte!! Puzzle Bobble (Japan),拉拉泡泡龙DS
Eyeshield 21 - Max Devil Power! (Japan),光速蒙面侠-究极恶魔之力
Kero Kero 7 (Japan),青蛙军曹7
Tamagotchi Connection - Corner Shop (USA),宠物鸡小店
"Dragon Ball Z - Supersonic Warriors 2 (Europe) (En,Fr,De,Es,It)",龙珠Z:超音速战士2
Unou no Tatsujin - Soukai! Machigai Museum (Japan),右脑达人-爽解!找错博物馆
Finding Nemo - Escape to the Big Blue (USA),寻找尼莫
"Rub Rabbits!, The (USA) (En,Ja,Fr,De,Es,It)",为你而死2
Arashi no Yoru ni (Japan),风雨之夜
Asphalt - Urban GT (Japan),都市赛车GT
Minna no Mahjong DS (Japan) (Rev 1),全民麻将DS
Oekaki Puzzle Battle! - Yuusha Ou GaoGaiGar Hen (Japan),勇者王
Robots (Japan),机器人
"Sims 2, The - Hachamecha Hotel Life (Japan)",模拟人生2-旅馆生活
Resident Evil - Deadly Silence (USA),生化危机-寂静死亡
Nihon Pro Mahjong Kishikai Kanshuu - Pro ni Naru Mahjong DS (Japan),日本职业麻雀棋士会监修-职业麻雀DS
Chocoken no Omise - Patissier & Sweets Shop Game (Japan),巧克力犬的店-糕点专卖店游戏
Tsubasa Chronicle (Japan),Tsubasa之翼
Pokemon Fushigi no Dungeon - Ao no Kyuujotai (Japan) (Rev 1),口袋妖怪不可思议的迷宫青之救助队1.1
Mr. Incredible - Kyouteki Underminer Toujou (Japan),超人特攻队-强敌地底怪客登场
"Super Monkey Ball - Touch & Roll (Europe) (En,Fr,De,Es,It)",超级猴球
"SpongeBob SquarePants and Friends Unite! (Europe) (En,Fr,De,Es,Nl)",方块小子和朋友们
"Frogger - Helmet Chaos (Europe) (En,Fr,De,Es,It)",青蛙过河
Kono Quiz Yarou!! (Japan),可诺智力问答
Age of Empires - The Age of Kings (USA),帝国时代-帝王世纪
"Nanostray (Europe) (En,Fr,De)",迷离战机
Touch Dictionary (Korea) (Rev 1),触摸字典
"James Pond - Codename Robocod (Europe) (En,Fr,De,Es,It)",詹姆士.庞德-机器密码
"Rub Rabbits!, The (Europe) (En,Ja,Fr,De,Es,It)",为你而死2
Top Gun (Japan),壮志凌云
Rekishi Simulation Game - Sangokushi DS (Japan),三国志DS
"Tak - The Great Juju Challenge (Europe) (En,Fr,De,Nl)",塔克-伟大的符咒挑战
Viewtiful Joe - Double Trouble! (Germany),红侠乔伊-双重麻烦
"Super Monkey Ball - Touch & Roll (USA) (En,Fr,De,Es,It)",超级猴子球
Itsudemo Dokodemo Dekiru Igo - AI Igo DS (Japan),AI围棋DS演示版
Itsudemo Dokodemo Dekiru Shougi - AI Shougi DS (Japan),AI将棋DS演示版
"FIFA Street 2 (Europe) (En,Fr,De)",FIFA街头足球2
Shunkan Puzz Loop (Japan),瞬间解惑迷圈
Seiken Densetsu DS - Children of Mana (Japan),圣剑传说DS-玛娜之子
Daikoukai Jidai IV - Rota Nova (Japan),大航海时代DS
Super Princess Peach (USA),超级碧奇公主
"Kim Possible - Kimmunicator (Europe) (En,Fr,De,Es,It)",麻辣女孩
Doraemon - Nobita no Kyouryuu 2006 DS (Japan),机器猫-野比的恐龙2006 DS
Narnia Koku Monogatari Dai-1 Shou - Lion to Majo (Japan),纳鲁尼亚国物语
"FIFA Street 2 (USA) (En,Fr,De)",FIFA街头足球2
Viewtiful Joe - Double Trouble! (France),红侠乔伊-双重麻烦
Tengai Makyou II - Manji Maru (Japan),天外魔境二代
Blades of Thunder II (USA),雷霆战机2
Texas Hold 'em Poker Pack (USA),德克萨斯扑克合集
Ultimate Spider-Man (Italy),终极蜘蛛侠
Pokemon Trozei! (USA),口袋妖怪
Ping Pals (France),涂鸦聊天室
Bust-A-Move DS (Europe),泡泡龙DS
Lunar - Genesis (Europe),露娜传奇-起源
"Space Invaders Revolution (USA) (En,Fr,De,Es,It)", 太空侵略者
Big Mutha Truckers (USA),重金属卡车
Viewtiful Joe - Double Trouble! (Italy),红侠乔伊-双重麻烦
Chou Gekijouban Keroro Gunsou - Enshuu Da yo! - Zenin Shuugou (Japan),超剧场版!库洛洛军曹大演戏
Shamu's Deep Sea Adventures (Europe),莎木的深海冒险
Touch Comic Adventure - GarakuTale (Japan),小强传说
Ice Age 2 - The Meltdown (USA),冰河世纪2融化
Pokemon Ranger (Japan),口袋妖怪-游侠
Cooking Mama (Japan),厨房老妈
Puzzle Series Vol. 3 - Sudoku (Japan),解谜系列Vol.3数独
Puzzle Series Vol. 1 - Jigsaw Puzzle (Japan),解谜系列Vol.3砌图
Ys Strategy (Japan),伊苏战略版
Tetris DS (USA),俄罗斯方块DS
Metroid Prime - Hunters (USA),银河战士-初猎
"Worms - Open Warfare (Europe) (En,Fr,De,Es,It)",百战天虫-开战
Tao's Adventure - Curse of the Demon Seal (USA),TAO的冒险-恶魔诅咒的封印
Madagascar (France),马达加斯加
Worms - Open Warfare (USA),百战天虫-开战
Minna de Wai Wai - Cocoto Kart (Japan),科科特卡丁赛车
Super Black Bass Fishing (USA),超级黑巴斯
Contact (Japan),Contact
Xenosaga I & II (Japan),异度传说1+2
Style Book - Junior City (Japan),Style Book 年轻都市
Style Book - Fushigi Boshi no Futago Hime Gyu! (Japan),Style Book 福星双胞公主
Puzzle Series Vol. 2 - Crossword (Japan),解谜系列 VOL.02纵横字谜
Monster Bomber (Japan),怪兽炸弹人
Deep Labyrinth (Japan),深暗迷宫
Madagascar (Japan),马达加斯加
Style Book - Cinnamoroll (Japan),style book 小白圈
Kanbayashi Shiki Nouryoku Kaihatsu Hou - Unou Kids DS (Japan),神林氏右脑开发
Jissen Pachi-Slot Hisshouhou! DS - Aladdin II Evolution (Japan),实战柏情哥-阿拉丁-进化
Kageyama Hideo no IQ Teacher DS - Kangaeru Chikara to Oboeru Chikara (Japan),阴山英男的IQ教学
MAER Heaven - Kaldea no Akuma (Japan),魔法天国-卡鲁迪亚的恶魔
San-X Land - Theme Park de Asobou! (Japan),在SAN X梦想大陆主题公园游玩
Harry Potter to Honoo no Goblet (Japan),哈里波特与火焰杯
