Name EN,Name CN
"Tomb Raider - Underworld (USA) (En,Fr,Es)",古墓丽影 - 地下世界
"Sonic and the Secret Rings (USA) (En,Ja,Fr,De,Es,It)",索尼克与神秘指环
"Sonic and the Black Knight (USA) (En,Ja,Fr,De,Es,It)",索尼克与黑暗骑士
"Far Cry Vengeance (USA) (En,Fr,Es)",孤岛惊魂 - 复仇
"LEGO Indiana Jones - The Original Adventures (USA) (En,Fr,Es)",乐高印第安纳琼斯
"LEGO Star Wars - The Complete Saga (USA) (En,Fr,Es)",乐高星球大战 - 完整的传奇
MX vs. ATV Untamed (USA),极限越野 - 突破
"NHL 2K9 (USA) (En,Fr,Es)",北美冰球联盟2009
"Crash - Mind over Mutant (USA) (En,Fr)",古惑狼 - 变异心灵
Crash of the Titans (USA),古惑狼 - 泰坦巨人
Carnival Games (USA),嘉年华游戏
"Pirates vs. Ninjas - Dodgeball (USA) (En,Fr,Es)",海盗VS忍者 - 躲避球
Resident Evil Archives - Resident Evil (USA),生化危机
"Hasbro Family Game Night (USA) (En,Fr,Es)",孩之宝 - 家庭游戏之夜
"Boom Blox (USA) (En,Fr,Es)",轰炸方块
"Dead Rising - Chop Till You Drop (USA) (En,Fr,Es)",丧尸围城 - 僵尸的祭品
Donkey Kong - Barrel Blast (USA),大金刚 - 木桶喷射
Fire Emblem - Radiant Dawn (USA),火炎纹章 - 晓之女神
"Disney G-Force (USA) (En,Fr,Es)",豚鼠特工队
"Mario Power Tennis (USA) (En,Fr,Es)",用Wii玩马里奥网球GC
MLB Power Pros 2008 (USA),实况职业力量棒球2008
"Spider-Man - Web of Shadows (USA) (En,Fr)",蜘蛛侠 - 影之网
Tiger Woods PGA Tour 09 - All-Play (USA),泰格伍兹高尔夫巡回赛09
Trauma Center - Second Opinion (USA),超执刀 - 再次执刀
"Samba de Amigo (USA) (En,Fr,Es)",快乐桑巴
"Mad Dog McCree - Gunslinger Pack (USA) (En,Fr,Es)",疯狗麦基利
"Mushroom Men - The Spore Wars (USA) (En,Fr,Es)",蘑菇人 - 孢子大战
"TMNT (USA) (En,Fr,Es)",忍者神龟2007旋风再起
"Wario Land - Shake It! (USA) (En,Fr,Es)",瓦里奥大陆 - 摇动
"Nights - Journey of Dreams (USA) (En,Ja,Fr,De,Es,It)",梦精灵 - 星降夜物语
"Naruto - Clash of Ninja Revolution 2 (USA) (En,Fr,Es)",火影忍者疾风传 - 激斗忍者大战2
"Mummy, The - Tomb of the Dragon Emperor (USA) (En,Fr,Es)",木乃伊归来3 - 龙帝之墓
SPRay (USA),涂鸦王子
"WarioWare - Smooth Moves (USA) (En,Fr,Es)",瓦里奥制造 - 手舞足蹈
"Tenchu - Shadow Assassins (USA) (En,Fr,Es)",天诛4
Soulcalibur Legends (USA),剑魂传说
Super Monkey Ball - Banana Blitz (USA),超级猴子球 - 香蕉闪电战
"Onechanbara - Bikini Zombie Slayers (USA) (En,Fr)",御姐玫瑰 - 革命
"MySims Racing (USA) (En,Fr,Es)",我的模拟人生 - 赛车
Mario Party 8 (USA) (Rev 1),马里奥派对8
"Harry Potter and the Half-Blood Prince (USA) (En,Fr,Es)",哈利波特与混血王子
"Grand Slam Tennis (USA) (En,Fr)",大满贯网球
"Ghostbusters - The Video Game (USA) (En,Fr,Es) (Rev 1)",捉鬼敢死队
"MySims (USA) (En,Fr,Es)",我的模拟人生
"Mario & Sonic at the Olympic Games (USA) (En,Fr,Es)",马里奥与索尼克在北京奥运
"Legend of Spyro, The - Dawn of the Dragon (USA) (En,Fr,Es)",斯派罗传说 - 龙之黎明
"Legend of Spyro, The - The Eternal Night (USA)",斯派罗传说 - 永夜
"Little King's Story (USA) (En,Fr,Es)",小国王物语
"CSI - Crime Scene Investigation - Hard Evidence (USA) (En,Fr,Es)",犯罪现场调查 - 铁证如山
"We Love Golf! (USA) (En,Fr,Es)",全民高尔夫
Tony Hawk's Downhill Jam (USA),托尼霍克滑板
"House of the Dead 2 & 3 Return, The (USA) (En,Fr,Es)",死亡之屋2+3
"Klonoa (USA) (En,Fr,Es)",风之克罗诺亚 - 幻影之门
"SSX Blur (USA) (En,Fr)",极限滑雪
"LEGO Batman - The Videogame (USA) (En,Fr,Es)",乐高蝙蝠侠
"Sonic Riders - Zero Gravity (USA) (En,Ja,Fr,De,Es,It)",索尼克滑板 - 失重
"Monster 4x4 - World Circuit (USA) (En,Fr,Es)",怪物四驱 - 世界巡回赛
"Pikmin (USA) (En,Fr,Es)",皮克敏星球探险
"Sam & Max - Season One (USA) (En,Fr,Es)",山姆和迈克斯第一季
"Sega Superstars Tennis (USA) (En,Fr,Es)",世嘉超级明星网球
"SimAnimals (USA) (En,Fr,Es)",模拟动物
Smarty Pants - Trivia Fun for Everyone! (USA),
"Legend of Zelda, The - Twilight Princess (USA) (En,Fr,Es) (Rev 2)",塞尔达传说 - 黎明公主
"Big Beach Sports (USA) (En,Fr,Es)",大沙滩运动
"Big League Sports - Summer (USA) (En,Fr)",夏日运动大联盟
"Blazing Angels - Squadrons of WWII (USA) (En,Fr,Es)",炽天使 - 二战空骑兵
Cabela's Legendary Adventures (USA),坎贝拉传奇冒险
Cabela's Trophy Bucks (USA),坎贝拉的猎鹿
Cooking Mama - Cook Off (USA),料理妈妈
"Destroy All Humans! Big Willy Unleashed (USA) (En,Fr)",毁灭全人类 - 解放威廉
"Transformers - Revenge of the Fallen (USA) (En,Fr)",变形金刚2 - 卷土重来
"Tom Clancy's Splinter Cell - Double Agent (USA) (En,Fr,Es)",分裂细胞 - 双重间谍
"Manhunt 2 (USA) (En,Fr,Es)",侠盗猎魔2
Need for Speed - ProStreet (USA),极品飞车 - 街头职业赛
Super Swing Golf (USA),魔法高尔夫
Wonder World Amusement Park (USA),奇迹世界游乐园
Transformers - The Game (USA),变形金刚 - 游戏
"Mario Super Sluggers (USA) (En,Fr,Es)",超级马里奥棒球场 - 家庭棒球
"Indiana Jones and the Staff of Kings (USA) (En,Fr,Es)",印第安纳琼斯与帝王手杖
"Munchables, The (USA) (En,Fr,Es)",大胃王
"Incredible Hulk, The (USA) (En,Fr)",无敌绿巨人
"DreamWorks Kung Fu Panda - Legendary Warriors (USA) (En,Fr)",功夫熊猫 - 神龙大侠
"007 - Quantum of Solace (USA) (En,Fr)",007 - 量子危机
Battalion Wars 2 (USA),军队战争2
"Bully - Scholarship Edition (USA) (En,Fr,Es)",恶霸鲁尼 - 学院风云
"MySims Party (USA) (En,Fr,Es)",我的模拟聚会
Nickelodeon SpongeBob's Atlantis SquarePantis (USA),海绵宝宝 - 亚特兰蒂斯
Elebits (USA),能源小精灵
"Nickelodeon SpongeBob SquarePants featuring Nicktoons - Globs of Doom (USA) (En,Fr)",海绵宝宝历险记 - 致命水珠
"Bigs 2, The (USA)",大棒球联盟2
Nicktoons - Attack of the Toybots (USA),海绵宝宝 - 玩具机器人来袭
"Sims 2, The - Castaway (USA)",模拟人生2 - 生存游戏
Nick Jr. Go Diego Go! Safari Rescue (USA),
Nickelodeon Avatar - The Last Airbender - Into the Inferno (USA),降世神通 - 地狱之战
"X-Men Origins - Wolverine (USA) (En,Fr)",X战警 - 金钢狼
Tiger Woods PGA Tour 10 (USA) (Rev 1),泰格伍兹高尔夫巡回赛10
Bust-A-Move Bash! (USA),泡泡龙
Medal of Honor - Vanguard (USA),荣誉勋章 - 先遣部队
Nickelodeon Tak and the Guardians of Gross (USA),塔克和恶心的监护人
Nickelodeon SpongeBob SquarePants - Creature from the Krusty Krab (USA),棉球方块历险记
"MySims Kingdom (USA) (En,Fr,Es)",我的模拟王国
"Resident Evil Archives - Resident Evil (Europe) (En,Fr,De,Es,It)",生化危机
"Legend of Zelda, The - Twilight Princess (Europe, Australia) (En,Fr,De,Es,It)",塞尔达传说 - 黎明公主
"Excite Truck (Europe) (En,Fr,De,Es,It)",疯狂卡车
"Link's Crossbow Training (Europe) (En,Fr,De,Es,It)",林克的弓箭训练
"Battle of the Bands (Europe) (En,Fr,De,Es,It)",乐队大战
"Nights - Journey of Dreams (Europe, Australia) (En,Ja,Fr,De,Es,It)",梦精灵 - 星降夜物语
"Red Steel (Europe) (En,Fr,De,Es,It)",赤铁
"Super Smash Bros. Brawl (Europe, Australia) (En,Fr,De,Es,It)",任天堂明星大乱斗X
"Metroid Prime Trilogy (Europe) (En,Fr,De,Es,It)",密特罗德究极三部曲
"Sam & Max - Season One (Europe) (En,Fr,De,Es,It)",山姆和迈克斯第一季
"SSX Blur (Europe) (En,Fr,De,Es,It)",极限滑雪
"Super Paper Mario (Europe, Australia) (En,Fr,De,Es,It)",超级纸片马里奥
"Tony Hawk's Downhill Jam (Europe) (En,Fr,De,Es,It)",托尼霍克滑板
"Big League Sports (USA) (En,Fr)",大联盟运动
"Disney Bolt (USA) (En,Fr,Es)",闪电狗
Brunswick Pro Bowling (USA),布朗斯威克 - 职业保龄球赛
"Dirt 2 (USA) (En,Fr,Es)",尘埃2
Dragon Ball Z - Budokai Tenkaichi 2 (USA),龙珠Z - 电光火石2
Dragon Ball Z - Budokai Tenkaichi 3 (USA),龙珠Z - 电光火石3
Harvey Birdman - Attorney at Law (USA),哈维博德曼 - 律师
"Help Wanted (USA) (En,Fr,Es)",工作狂
"Ice Age - Dawn of the Dinosaurs (USA) (En,Fr)",
Spectrobes - Origins (USA),化石超进化 - 起源
"Puzzle Kingdoms (USA) (En,Fr,Es)",谜题王国
My Word Coach (USA),我的单词教练
"Mini Ninjas (USA) (En,Fr,Es)",迷你忍者
"Disney-Pixar Up (USA) (En,Fr)",飞屋环游记
"G.I. Joe - The Rise of Cobra (USA) (En,Fr)",特种部队 - 眼镜蛇危机
"Rayman - Raving Rabbids - TV Party (USA) (En,Fr,Es)",雷曼 - 疯狂兔子 - 电视聚会
DreamWorks Bee Movie Game (USA),蜜蜂总动员
Ghost Squad (USA),幽灵小队
Harry Potter and the Order of the Phoenix (USA),哈利波特与凤凰社
"Hell's Kitchen - The Game (USA) (En,Fr,Es)",地狱厨房
Hot Wheels - Beat That! (USA),热轮竞速
Major League Baseball 2K9 (USA),职业棒球大联盟2K9
"Ninja Reflex (USA) (En,Fr,Es)",忍者反应
"Disney-Pixar Toy Story Mania! (USA) (En,Fr,Es)",玩具总动员
WWE SmackDown vs. Raw 2008 (USA),世界职业摔角2008
"DreamWorks Monsters vs. Aliens (USA) (En,Fr)",怪兽大战外星人
"Block Party - 20 Games (USA) (En,Fr)",打击聚会
"Carnival Games - MiniGolf (USA) (En,Fr,Es)",嘉年华游戏 - 迷你高尔夫
Dancing with the Stars - We Dance! (USA),与星共舞 - 一起跳
"Price Is Right, The (USA) (En,Fr)",正确定价
DreamWorks Shrek the Third (USA),怪物史莱克3
"DreamWorks Shrek's Carnival Craze - Party Games (USA) (En,Fr)",
Tony Hawk's Proving Ground (USA),托尼霍克滑板 - 练习场
"Mario Strikers Charged Football (Europe) (En,Fr,De,Es,It) (Rev 1)",马里奥激情足球
"Iron Man (USA) (En,Fr,Es)",钢铁侠
"DreamWorks Kung Fu Panda (USA) (En,Fr)",功夫熊猫
"DreamWorks Madagascar - Escape 2 Africa (USA) (En,Fr)",马达加斯加2 - 逃往非洲
Madden NFL 08 (USA),美式橄榄球大联盟08
Marvel - Ultimate Alliance 2 (USA),漫威终极联盟2
Mortal Kombat - Armageddon (USA),真人快打
Pajama Sam - Don't Fear the Dark (USA),睡衣山姆 - 别怕黑
Disney-Pixar Ratatouille (USA),料理鼠王
Spy Fox in Dry Cereal (USA),狐狸侦探智救人质
"Roogoo - Twisted Towers (USA) (En,Fr,Es)",虚拟宇宙 - 扭曲之塔
"Guinness World Records - The Videogame (USA) (En,Fr,Es)",吉尼斯世界纪录 - 电视游戏
Naruto - Clash of Ninja Revolution (USA),火影忍者疾风传 - 激斗忍者大战
"Star Wars - The Force Unleashed (USA) (En,Fr)",星球大战 - 原力释放
All Star Cheer Squad (USA),全明星拉拉队
Dewy's Adventure (USA),水精迪依大冒险
Madden NFL 10 (USA),美式橄榄球大联盟10
"Wacky World of Sports (USA) (En,Fr,Es)",古怪运动世界
"Disney-Pixar WALL-E (USA) (En,Fr)",机器人总动员
"WWE SmackDown vs. Raw 2009 (USA) (En,Fr)",世界职业摔角2009
"Sports Island (Europe) (En,Fr,De,Es,It)",德卡运动会
"Wii Sports Resort (USA) (En,Fr,Es)",Wii运动 - 度假胜地
Rock Band 2 (USA),摇滚乐团2
"Cloudy with a Chance of Meatballs (USA) (En,Fr,Es)",天降美食
Hannah Montana - The Movie (USA),汉娜蒙塔娜 - 电影版
NBA Live 08 (USA),
Rapala Tournament Fishing! (USA),乐伯乐钓鱼巡回赛
"Scooby-Doo! First Frights (USA) (En,Fr,Es)",史酷比最初恐惧
"Shaun White Snowboarding - Road Trip (USA) (En,Fr,Es)",肖恩怀特滑雪板
"Star Wars - The Clone Wars - Lightsaber Duels (USA) (En,Fr)",
"Ultimate Band (USA) (En,Fr,Es)",终极乐队
Cabela's Big Game Hunter (USA),坎贝拉猎人
"Guitar Hero World Tour (USA) (En,Fr)",
"Guitar Hero 5 (USA) (En,Fr)",吉他英雄5
NCAA Football 09 - All-Play (USA),
Neighborhood Games (USA),邻居间的游戏
Disney Pirates of the Caribbean - At World's End (USA) (Rev 1),加勒比海盗 - 世界的尽头
Rampage - Total Destruction (USA),怪兽大破坏
"Ghost Squad (Europe) (En,Fr,De,Es,It)",幽灵小队
Tiger Woods PGA Tour 07 (Europe),泰格伍兹高尔夫巡回赛07
"Beatles, The - Rock Band (USA) (En,Fr,Es)",甲壳虫摇滚乐团
AMF Bowling - Pinbusters! (USA),AMF保龄球 - 非同寻常
Deer Drive (USA),麋鹿猎人
Spider-Man 3 (USA),蜘蛛侠3
Spider-Man - Friend or Foe (USA),蜘蛛侠 - 敌友难辨
Pokemon Battle Revolution (USA),宝可梦 - 战斗革命
Wild Earth - African Safari (USA),野生大地 - 非洲之旅
"Where's Waldo The Fantastic Journey (USA) (En,Fr)",沃尔多在哪里？ - 梦幻之旅
Nancy Drew - The White Wolf of Icicle Creek (USA),南茜朱儿 - 冰溪白狼
Kawasaki Quad Bikes (USA),川崎沙滩车
Kawasaki Jet Ski (USA),川崎水上摩托
Family Feud - 2010 Edition (USA),家庭问答2010
Myth Makers - Orbs of Doom (USA),魔法制造者 - 末日宝石
"Ferrari Challenge - Trofeo Pirelli (USA) (En,Fr)",法拉利挑战赛
Final Fantasy Fables - Chocobo's Dungeon (USA),最终幻想陆行鸟 - 忘却时间的迷宫
"Disney-Pixar Cars - Mater-National Championship (USA) (En,Es)",汽车总动员 - 全国汽车大赛
"Disney-Pixar Cars (USA) (En,Es)",汽车总动员
"Fishing Master World Tour (USA) (En,Fr,Es)",目标！钓鱼大师 - 世界版
"MotoGP (USA) (En,Fr,Es)",GP摩托车赛08
"Sims 2, The - Pets (USA)",模拟人生2 - 宠物
"Alvin and the Chipmunks (USA) (En,Fr)",鼠来宝
Major League Baseball 2K8 (USA),职业棒球大联盟2K8
Go Play - Lumberjacks (USA),去玩吧 - 伐木工
Thrillville - Off the Rails (USA),主题公园 - 惊奇世界
"Star Wars - The Clone Wars - Republic Heroes (USA) (En,Fr,Es)",
Battle of the Bands (USA),乐队大战
"Deadly Creatures (USA) (En,Fr,Es)",致命生物
"Guitar Hero - Metallica (USA) (En,Fr)",吉他英雄 - 金属乐队
Excite Truck (USA),疯狂卡车
Nickelodeon Barnyard (USA),疯狂农庄
"Chronicles of Narnia, The - Prince Caspian (USA)",纳尼亚传奇 - 凯斯宾王子
"Fantastic Four - Rise of the Silver Surfer (USA) (En,Fr)",神奇四侠 - 银影侠现身
"Guitar Hero - Aerosmith (USA) (En,Fr)",吉他英雄 - 空中铁匠乐队
Need for Speed - Carbon (USA),极品飞车 - 卡本峡谷
"Skate It (USA) (En,Fr,Es)",极限滑板
"Circus Games (USA) (En,Fr,Es)",马戏团游戏
Harvest Moon - Tree of Tranquility (USA),牧场物语 - 济世之树
Rygar - The Battle of Argus (USA),阿尔戈斯战士 - 筋肉冲击
Valhalla Knights - Eldar Saga (USA),瓦尔哈拉骑士 - 艾德尔传奇
"Paws & Claws - Pet Vet (USA) (En,Fr,Es)",我的宠物医院
"Fire Emblem - Radiant Dawn (Europe) (En,Fr,De,Es,It) (Rev 1)",火炎纹章 - 晓之女神
"Conduit, The (Europe) (En,Fr,De,Es,It)",管道
"Disaster - Day of Crisis (Europe) (En,Fr,De,Es,It)",天灾 - 危机之日
"New Super Mario Bros. Wii (Europe) (En,Fr,De,Es,It) (Rev 1)",新超级马里奥兄弟Wii
"Shaun White Snowboarding - World Stage (USA) (En,Fr,Es)",肖恩怀特滑雪 - 世界舞台
Cabela's Big Game Hunter 2010 (USA),坎贝拉猎人2010
Metroid Prime Trilogy (USA),密特罗德究极三部曲
Bass Pro Shops - The Strike (USA),巴斯专业店 - 鱼饵
"Chaotic - Shadow Warriors (USA) (En,Fr)",混沌影子武士
"Tornado Outbreak (USA) (En,Fr,Es)",龙卷风爆发
Backyard Baseball '10 (USA),后院棒球10
"Don King Boxing (USA) (En,Fr,Es)",唐金拳击
"Mario & Sonic at the Olympic Winter Games (USA) (En,Ja,Fr,Es)",马里奥与索尼克在温哥华冬奥
"Totally Spies! Totally Party (USA) (En,Fr,Es)",特工少女组 - 狂欢派对
Ringling Bros. and Barnum & Bailey (USA),
"Band Hero (USA) (En,Fr)",乐团英雄
Deca Sports (USA),德卡运动会
"Guitar Hero - Smash Hits (USA) (En,Fr)",吉他英雄 - 流行精选
"Bakugan - Battle Brawlers (USA) (En,Fr) (Toys R Us)",爆丸 - 战斗对决
Arc Rise Fantasia (Japan),弧光幻想曲
